Visual_stim Tactile_stim Timestamp Position Strength Response_Time
0 0 1728639291235 0 0 0 
4 4 1728639357157 4 4 0 
0 3 1728639379539 3 4 0,705734252929688 
0 2 1728639392486 2 4 0,720916748046875 
1 1 1728639400491 1 4 0,689987182617188 
2 0 1728639407313 0 4 0 
1 2 1728639416125 2 4 0,652603149414063 
0 2 1728639427471 2 4 0,900344848632813 
4 0 1728639434905 0 4 0 
2 2 1728639444066 2 4 0,731796264648438 
3 0 1728639450902 0 4 0 
0 4 1728639460647 3 4 0,856613159179688 
0 1 1728639469822 1 4 0,526763916015625 
1 0 1728639478592 0 4 0 
1 3 1728639487780 1 4 0,734771728515625 
2 2 1728639494839 2 4 0,511322021484375 
0 3 1728639503680 1 4 0,57879638671875 
2 0 1728639510793 0 4 0 
1 0 1728639532093 0 4 0 
2 3 1728639542020 2 4 1,34725952148438 
0 1 1728639552447 1 4 0,99945068359375 
0 3 1728639560744 1 4 0,77783203125 
4 4 1728639574276 2 4 0,844940185546875 
2 2 1728639586221 2 4 0,71746826171875 
4 3 1728639594044 3 4 0,88494873046875 
2 0 1728639604807 0 4 0 
3 4 1728639612588 3 4 1,19424438476563 
2 1 1728639623978 1 4 0,718780517578125 
3 3 1728639633290 3 4 0,67626953125 
1 1 1728639641086 1 4 0,62469482421875 
4 4 1728639649050 1 4 0,52587890625 
1 4 1728639664587 2 4 0,845245361328125 
4 4 1728639674959 2 4 1,2647705078125 
2 4 1728639687238 2 4 0,75018310546875 
4 0 1728639696731 0 4 0 
3 2 1728639705321 2 4 0,8299560546875 
3 3 1728639715429 3 4 0,7193603515625 
1 2 1728639722807 1 4 1,06784057617188 
0 2 1728639734544 1 4 0,655914306640625 
3 0 1728639751111 0 4 0 
0 4 1728639759046 4 4 1,02410888671875 
0 4 1728639768123 2 4 0,954071044921875 
2 1 1728639776837 1 4 1,12582397460938 
0 1 1728639785678 1 4 0,830780029296875 
3 3 1728639792180 3 4 0,75885009765625 
1 0 1728639798430 0 4 0 
2 2 1728639806673 2 4 0,66162109375 
3 1 1728639816459 1 4 0,86004638671875 
4 2 1728639826636 1 4 0,802490234375 
3 0 1728639844650 0 4 0 
1 4 1728639852461 1 4 0,6624755859375 
0 2 1728639867064 2 4 0 
0 4 1728639875236 4 4 1,57086181640625 
0 3 1728639887864 3 4 0,7208251953125 
4 0 1728639896245 0 4 0 
1 1 1728639905850 1 4 0,81976318359375 
4 1 1728639914343 1 4 1,34490966796875 
1 0 1728639923433 0 4 0 
0 1 1728639931286 1 4 0,9581298828125 
3 3 1728639939291 3 4 0,7462158203125 
1 3 1728639945973 3 4 0,8590087890625 
4 0 1728639956568 0 4 0 
1 1 1728639965339 1 4 0,74462890625 
3 0 1728639971631 0 4 0 
2 0 1728639980096 0 4 0 
