Visual_stim Tactile_stim Timestamp Position Strength Response_Time
0 0 1729496754928 0 0 0 
4 0 1729496806053 0 4 0 
1 4 1729496817371 4 4 0,633388519287109 
1 3 1729496825877 1 4 0,594024658203125 
1 2 1729496833896 2 4 0,661338806152344 
0 3 1729496842485 3 4 0,5777587890625 
2 4 1729496850087 2 4 0,704010009765625 
0 2 1729496858425 2 4 0,604637145996094 
4 0 1729496865247 0 4 0 
1 0 1729496873045 0 4 0 
4 1 1729496880993 1 4 0,521720886230469 
0 4 1729496887426 4 4 0,706878662109375 
2 0 1729496897504 0 4 0 
4 2 1729496905245 1 4 0,647079467773438 
4 4 1729496911759 1 4 0,984725952148438 
2 1 1729496922175 1 4 0,42449951171875 
4 4 1729496930653 1 4 0,495040893554688 
4 3 1729496940050 3 4 0,579330444335938 
2 2 1729496952788 1 4 0,498123168945313 
0 4 1729496969941 4 4 0,647872924804688 
3 2 1729496977458 2 4 0,526626586914063 
1 0 1729496987246 0 4 0 
0 1 1729496996434 1 4 0,65252685546875 
1 0 1729497005315 0 4 0 
2 2 1729497014881 2 4 0,846343994140625 
3 4 1729497023819 0 4 0 
4 4 1729497033104 4 4 0,70440673828125 
0 3 1729497040830 3 4 0,578155517578125 
0 2 1729497048041 2 4 0,6651611328125 
0 4 1729497056548 4 4 0,579986572265625 
3 3 1729497064345 3 4 0,4530029296875 
1 0 1729497071681 0 4 0 
2 2 1729497079157 2 4 0,46685791015625 
3 0 1729497085631 0 4 0 
2 0 1729497093817 0 4 0 
0 3 1729497102464 3 4 0,545501708984375 
0 1 1729497111692 1 4 0,757659912109375 
1 4 1729497118054 2 4 0,717926025390625 
0 3 1729497127926 3 4 0,692779541015625 
3 0 1729497136029 0 4 0 
2 2 1729497144688 2 4 0,691314697265625 
1 1 1729497152220 1 4 0,578643798828125 
0 2 1729497158763 2 4 0,5263671875 
0 4 1729497168231 4 4 0,63714599609375 
4 4 1729497176889 4 4 0,59710693359375 
1 3 1729497186134 3 4 0,563323974609375 
3 3 1729497193011 3 4 0,48211669921875 
2 0 1729497200932 0 4 0 
2 1 1729497210218 1 4 0,70489501953125 
1 2 1729497218141 2 4 0,540191650390625 
3 0 1729497227244 0 4 0 
2 3 1729497236613 3 4 0,49847412109375 
4 0 1729497248238 0 4 0 
3 3 1729497259251 1 4 0,4986572265625 
1 1 1729497270345 1 4 0,776611328125 
3 3 1729497279785 3 4 0,67559814453125 
3 0 1729497287052 0 4 0 
3 1 1729497295684 1 4 0,53668212890625 
4 0 1729497302813 0 4 0 
0 1 1729497310595 1 4 0,63275146484375 
2 0 1729497317013 0 4 0 
1 1 1729497325268 1 4 0,50762939453125 
0 1 1729497333455 1 4 0,50762939453125 
1 1 1729497340068 1 4 0,61883544921875 
0 2 1729497346959 2 4 0,63702392578125 
