Visual_stim Tactile_stim Timestamp Position Strength Response_Time
0 0 1731607137951 0 0 0 
4 0 1731607163109 0 4 0 
0 4 1731607174496 4 4 0,914936065673828 
2 4 1731607183239 4 4 0,606800079345703 
0 3 1731607190812 3 4 0,941326141357422 
1 1 1731607198219 1 4 0,497898101806641 
3 1 1731607206391 1 4 0,844123840332031 
1 1 1731607214146 1 4 0,704933166503906 
2 1 1731607222262 1 4 0,651985168457031 
2 2 1731607231145 2 4 0,7314453125 
3 2 1731607239290 2 4 0,67364501953125 
1 4 1731607245984 4 4 0,637222290039063 
3 3 1731607254506 3 4 0,871818542480469 
4 4 1731607263053 4 4 0,8331298828125 
3 0 1731607272576 0 4 0 
1 1 1731607282098 1 4 0,831573486328125 
0 1 1731607290117 1 4 0,609771728515625 
1 3 1731607298637 3 4 1,12155151367188 
3 3 1731607329976 3 4 1,208740234375 
0 1 1731607347643 1 4 1,22138977050781 
3 3 1731607356858 3 4 0,986343383789063 
2 0 1731607366048 0 4 0 
1 0 1731607374123 0 4 0 
4 0 1731607381918 0 4 0 
2 0 1731607389757 0 4 0 
3 0 1731607398554 0 4 0 
0 2 1731607408563 2 4 1,31472778320313 
4 4 1731607415873 4 4 0,786651611328125 
0 2 1731607422778 2 4 0,90252685546875 
1 0 1731607431243 0 4 0 
2 1 1731607442006 1 4 0,8714599609375 
1 1 1731607449870 1 4 0,592041015625 
4 0 1731607457054 0 4 0 
0 1 1731607466367 1 4 0,971405029296875 
2 2 1731607475598 2 4 0,775665283203125 
2 0 1731607483756 0 4 0 
0 1 1731607494545 1 4 1,0225830078125 
0 4 1731607501923 4 4 0,819183349609375 
1 0 1731607511516 0 4 0 
4 0 1731607521219 0 4 0 
3 4 1731607530937 0 4 0 
2 2 1731607542283 2 4 0 
0 3 1731607550679 3 4 0 
2 3 1731607563027 3 4 0,89923095703125 
0 2 1731607570990 2 4 0,78875732421875 
2 0 1731607578453 0 4 0 
0 4 1731607589353 4 4 0,50738525390625 
4 4 1731607596704 4 4 0,914215087890625 
3 0 1731607604570 0 4 0 
2 2 1731607614942 2 4 0,62091064453125 
4 1 1731607622015 1 4 0,775238037109375 
4 4 1731607631203 4 4 0,55401611328125 
3 3 1731607640239 3 4 0,71868896484375 
1 2 1731607649009 2 4 0,8170166015625 
1 2 1731607657683 2 4 0,79119873046875 
1 4 1731607666412 4 4 0,803466796875 
4 3 1731607674974 3 4 0,66455078125 
3 0 1731607683452 0 4 0 
0 4 1731607693310 4 4 0,929443359375 
1 0 1731607702930 0 4 0 
0 3 1731607713011 3 4 0,8284912109375 
0 3 1731607720792 3 4 1,30194091796875 
1 3 1731607730356 3 4 1,4573974609375 
0 2 1731607739266 2 4 0,92803955078125 
4 2 1731607748162 2 4 0,73248291015625 
