Visual_stim Tactile_stim Timestamp Position Strength Response_Time
0 0 1730825391053 0 0 0 
4 2 1730825437271 2 4 1,42694091796875 
1 2 1730825446402 2 4 1,02632904052734 
4 0 1730825455702 0 4 0 
0 1 1730825464153 1 4 0,801170349121094 
1 0 1730825470960 0 4 0 
1 3 1730825479731 3 4 1,47129058837891 
4 4 1730825489671 4 4 0,846900939941406 
0 2 1730825498053 2 4 0,818099975585938 
2 0 1730825505529 0 4 0 
2 2 1730825513172 2 4 0,939437866210938 
0 3 1730825519144 3 4 0,827774047851563 
0 4 1730825525896 4 4 0,707489013671875 
2 3 1730825534096 3 4 1,19291687011719 
1 1 1730825542171 1 4 0,944503784179688 
0 4 1730825550414 4 4 0,771743774414063 
3 0 1730825557347 0 4 0 
1 4 1730825566632 4 4 1,03756713867188 
0 3 1730825574081 3 4 1,03684997558594 
2 4 1730825580471 4 4 1,24632263183594 
4 4 1730825587933 4 4 0,911163330078125 
3 0 1730825594783 0 4 0 
2 2 1730825603149 2 4 0,844482421875 
2 0 1730825611042 0 4 0 
4 0 1730825620204 0 4 0 
4 4 1730825629016 0 4 0 
2 0 1730825636142 0 4 0 
3 3 1730825645262 3 4 0 
4 4 1730825654270 4 4 0,692047119140625 
1 4 1730825663195 4 4 0,884429931640625 
0 1 1730825670140 1 4 0,72161865234375 
2 1 1730825678230 1 4 1,66549682617188 
0 4 1730825685886 4 4 0,970489501953125 
3 3 1730825694183 3 4 0,91558837890625 
3 0 1730825702327 0 4 0 
3 1 1730825710250 1 4 0,86029052734375 
1 0 1730825719480 0 4 0 
0 1 1730825727319 1 4 1,1492919921875 
1 0 1730825734321 0 4 0 
1 1 1730825743704 1 4 0,636749267578125 
4 3 1730825751877 3 4 1,34555053710938 
2 0 1730825760898 0 4 0 
2 1 1730825769153 1 4 1,738037109375 
0 2 1730825778955 2 4 0,89959716796875 
1 0 1730825786876 0 4 0 
0 2 1730825794074 2 4 0,63671875 
3 3 1730825802065 3 4 0,6654052734375 
3 0 1730825810222 0 4 0 
1 2 1730825819578 2 4 0,95806884765625 
3 4 1730825827667 4 4 1,03848266601563 
2 2 1730825835352 2 4 0,940521240234375 
4 1 1730825842396 1 4 1,07937622070313 
1 1 1730825849426 1 4 0,77398681640625 
0 3 1730825857514 3 4 0,916229248046875 
1 1 1730825865798 1 4 0,733489990234375 
0 2 1730825873427 2 4 0,636688232421875 
0 4 1730825880863 4 4 0,71624755859375 
4 0 1730825887405 0 4 0 
3 3 1730825895160 3 4 1,0113525390625 
3 2 1730825902635 2 4 0,9825439453125 
2 2 1730825909847 2 4 0,59600830078125 
4 0 1730825917991 0 4 0 
1 3 1730825925539 3 4 0,889892578125 
0 3 1730825932095 3 4 0,7772216796875 
0 1 1730825940309 1 4 0,7186279296875 
