Visual_stim Tactile_stim Timestamp Position Strength Response_Time
0 0 1730223066470 0 0 0 
4 4 1730223102157 4 4 1,04561614990234 
2 1 1730223110258 1 4 0,554187774658203 
1 1 1730223118960 1 4 0,620151519775391 
0 1 1730223126103 1 4 0,593029022216797 
0 3 1730223134287 3 4 0,551315307617188 
1 4 1730223142502 4 4 0,455902099609375 
0 4 1730223150842 3 4 0,58148193359375 
2 2 1730223159890 1 4 0,526130676269531 
3 3 1730223169455 1 4 0,494598388671875 
3 3 1730223178895 3 4 0,481925964355469 
2 0 1730223187164 0 4 0 
1 0 1730223196380 0 4 0 
4 0 1730223204874 0 4 0 
4 4 1730223214326 4 4 0,580581665039063 
1 4 1730223224822 3 4 0,562271118164063 
4 3 1730223231630 3 4 0,664169311523438 
1 1 1730223244534 1 4 0,732284545898438 
4 4 1730223252095 4 4 0,564300537109375 
2 0 1730223259209 0 4 0 
0 2 1730223268091 2 4 0,595733642578125 
2 0 1730223276751 0 4 0 
4 4 1730223285132 4 4 0,442642211914063 
0 4 1730223293986 0 4 0 
0 1 1730223303621 0 4 0,6617431640625 
3 3 1730223311195 3 4 0,62091064453125 
4 1 1730223322470 1 4 0,634246826171875 
1 0 1730223330364 0 4 0 
4 0 1730223339427 0 4 0 
3 0 1730223348644 0 4 0 
3 1 1730223358542 1 4 0,871551513671875 
2 2 1730223365991 1 4 0,482696533203125 
0 2 1730223374914 2 4 0,55133056640625 
4 0 1730223382209 0 4 0 
3 0 1730223390172 0 4 0,510589599609375 
2 4 1730223398386 2 4 0,62457275390625 
3 4 1730223408397 2 4 0,56292724609375 
4 2 1730223415637 2 4 0,579010009765625 
0 1 1730223423266 1 4 0,63623046875 
3 0 1730223431228 0 4 0 
0 2 1730223440682 2 4 0,578155517578125 
2 2 1730223447656 2 4 0,536285400390625 
1 2 1730223454338 2 4 0,552520751953125 
0 2 1730223462817 2 4 0,6339111328125 
1 0 1730223469889 0 4 0,60736083984375 
3 0 1730223477518 0 4 0 
2 2 1730223485593 2 4 0,689178466796875 
3 2 1730223492553 2 4 0,8560791015625 
1 1 1730223500281 1 4 0,66455078125 
1 2 1730223508564 1 4 0,78662109375 
1 3 1730223519408 3 4 0,786712646484375 
1 3 1730223526550 3 4 0,553955078125 
0 4 1730223534516 4 4 0,748626708984375 
1 0 1730223543480 0 4 0 
2 0 1730223551611 0 4 0 
4 0 1730223561273 0 4 0 
3 3 1730223570266 3 4 0,688690185546875 
0 3 1730223576879 3 4 0,693023681640625 
2 3 1730223585566 3 4 0,66094970703125 
2 1 1730223593669 1 4 0,59320068359375 
0 3 1730223601311 3 4 0,7054443359375 
0 1 1730223609846 1 4 0,62103271484375 
0 3 1730223617587 3 4 0,60565185546875 
0 4 1730223624395 4 4 0,64910888671875 
1 1 1730223632108 1 4 0,52276611328125 
