Visual_stim Tactile_stim Timestamp Position Strength Response_Time
0 0 1729007986911 0 0 0 
3 3 1729008181993 3 4 0 
0 4 1729008196066 4 4 1,12509155273438 
0 2 1729008206369 2 4 0,801101684570313 
0 1 1729008214095 1 4 0,720733642578125 
2 2 1729008221989 2 4 0,7059326171875 
1 3 1729008230049 1 4 0,522735595703125 
1 4 1729008236745 2 4 0,735549926757813 
4 1 1729008246729 1 4 0,691925048828125 
1 0 1729008255625 0 4 0,610504150390625 
4 2 1729008264786 4 4 0,855926513671875 
2 1 1729008272748 1 4 1,08352661132813 
3 3 1729008282175 3 4 0,747039794921875 
1 0 1729008290972 0 4 0 
0 4 1729008301650 4 4 1,19427490234375 
3 0 1729008311173 0 4 0 
1 1 1729008319595 1 4 1,0120849609375 
4 4 1729008327517 4 4 1,15286254882813 
1 1 1729008336844 1 4 0,873382568359375 
4 4 1729008345016 4 4 0,835601806640625 
1 1 1729008352813 1 4 0,886962890625 
0 3 1729008361599 1 4 1,06866455078125 
2 0 1729008371384 0 4 0 
0 1 1729008380643 1 4 1,12380981445313 
3 4 1729008389372 4 4 0,91436767578125 
1 2 1729008397543 2 4 0,831268310546875 
1 2 1729008406676 2 4 0,8577880859375 
0 3 1729008414500 3 4 0,830535888671875 
3 2 1729008422185 4 4 0,6326904296875 
4 0 1729008429159 0 4 0 
0 2 1729008436789 2 4 0,80023193359375 
1 1 1729008444153 1 4 1,10855102539063 
0 1 1729008451463 1 4 0,77374267578125 
0 2 1729008458537 2 4 0,564971923828125 
0 3 1729008465789 3 4 0,88592529296875 
2 0 1729008474101 0 4 0 
4 0 1729008484779 0 4 0 
3 0 1729008493299 0 4 0 
3 0 1729008501930 0 4 0 
4 4 1729008511702 4 4 0 
2 2 1729008521336 2 4 0,84613037109375 
0 3 1729008529733 4 4 0,691162109375 
4 0 1729008538755 0 4 0,6475830078125 
3 3 1729008546216 3 4 1,71990966796875 
2 1 1729008554319 1 4 0,870849609375 
2 2 1729008561586 2 4 1,23297119140625 
3 0 1729008569703 0 4 0 
1 0 1729008577486 0 4 0 
3 3 1729008586187 3 4 0 
0 1 1729008594859 1 4 1,17828369140625 
1 4 1729008604784 4 4 1,37164306640625 
4 0 1729008613138 0 4 0 
2 2 1729008621463 2 4 1,49560546875 
0 4 1729008629259 4 4 0,92877197265625 
2 3 1729008637738 1 4 0,88555908203125 
4 3 1729008646481 3 4 0,59075927734375 
0 2 1729008654166 2 4 0,96844482421875 
2 0 1729008661919 0 4 0 
3 1 1729008670203 1 4 0,826904296875 
1 3 1729008677695 3 4 0,83251953125 
4 4 1729008688721 4 4 0,8157958984375 
2 4 1729008696544 4 4 0,63507080078125 
1 0 1729008704605 0 4 0 
2 0 1729008713947 0 4 0 
0 4 1729008729053 2 4 0 
