Visual_stim Tactile_stim Timestamp Position Strength Response_Time
0 0 1730213051323 0 0 0 
3 3 1730213081887 3 4 0 
0 4 1730213108154 2 4 1,02521514892578 
3 0 1730213121602 0 4 0 
0 1 1730213131264 1 4 1,25017547607422 
2 2 1730213141539 2 4 0,787284851074219 
2 0 1730213148390 0 4 0 
1 1 1730213156186 1 4 0,815322875976563 
0 2 1730213163203 2 4 0,83306884765625 
1 2 1730213171223 1 4 0,83001708984375 
3 3 1730213180882 3 4 0,6649169921875 
0 4 1730213188944 1 4 0,664901733398438 
0 1 1730213199858 1 4 0,605453491210938 
3 0 1730213206943 0 4 0 
2 2 1730213215576 2 4 0,564376831054688 
2 0 1730213223525 0 4 0,953781127929688 
2 4 1730213231126 2 4 0,983612060546875 
1 2 1730213239285 2 4 0,6865234375 
4 0 1730213246608 0 4 0 
1 0 1730213254543 0 4 0 
1 1 1730213263508 1 4 0,844863891601563 
4 4 1730213271264 2 4 0,734649658203125 
2 0 1730213280327 0 4 0 
0 3 1730213290031 3 4 0,801620483398438 
1 3 1730213297396 1 4 0,745147705078125 
0 3 1730213304357 1 4 0,776809692382813 
3 1 1730213314311 1 4 0,748016357421875 
0 3 1730213324570 1 4 0,7752685546875 
2 2 1730213333967 1 4 0,773345947265625 
2 0 1730213343017 0 4 0 
4 0 1730213352387 0 4 0 
0 1 1730213360796 1 4 0,62225341796875 
0 4 1730213368814 4 4 0,558502197265625 
2 1 1730213377182 2 4 0,64654541015625 
2 1 1730213384059 2 4 0,689788818359375 
2 2 1730213392147 2 4 0,69384765625 
1 3 1730213400779 1 4 0,731842041015625 
4 0 1730213408327 0 4 0 
1 0 1730213415800 0 4 0 
1 0 1730213423777 0 4 0 
4 4 1730213432130 3 4 0,74664306640625 
4 4 1730213440859 4 4 0,788360595703125 
0 2 1730213449282 2 4 0,5516357421875 
0 3 1730213456494 1 4 0,622314453125 
3 0 1730213464694 0 4 0 
4 4 1730213474036 4 4 0,888641357421875 
3 4 1730213483112 3 4 0,73553466796875 
4 2 1730213492274 4 4 0,451568603515625 
3 2 1730213498692 1 4 0,577239990234375 
0 2 1730213505820 2 4 0,56610107421875 
4 3 1730213513142 2 4 0,666717529296875 
3 0 1730213522749 0 4 0,621978759765625 
1 1 1730213531546 1 4 0,692352294921875 
1 4 1730213539789 1 4 0,74700927734375 
1 0 1730213547501 0 4 0 
0 2 1730213555731 2 4 0,590728759765625 
0 1 1730213561884 1 4 0,604644775390625 
1 1 1730213569653 1 4 0,548828125 
4 0 1730213575665 0 4 0 
2 3 1730213583589 3 4 0,52508544921875 
3 3 1730213593055 3 4 0,70550537109375 
3 3 1730213600766 3 4 0,55322265625 
1 4 1730213608479 2 4 0,79095458984375 
4 1 1730213618712 2 4 0,65264892578125 
0 4 1730213627399 1 4 0,6353759765625 
