Visual_stim Tactile_stim Timestamp Position Strength Response_Time
0 0 1729269469779 0 0 0 
3 3 1729269633112 3 4 0 
4 3 1729269644052 4 4 0,915084838867188 
3 0 1729269652516 3 4 0,746429443359375 
4 4 1729269683047 4 4 0,846572875976563 
0 1 1729269693266 1 4 0,707015991210938 
0 3 1729269702079 3 4 0,718460083007813 
1 0 1729269709390 0 4 0,637283325195313 
2 2 1729269721584 2 4 0,775680541992188 
3 3 1729269730119 3 4 0,830841064453125 
0 2 1729269737860 2 4 0,786529541015625 
4 0 1729269744821 0 4 0 
3 3 1729269753799 3 4 0,73040771484375 
2 2 1729269760134 2 4 0,80023193359375 
0 3 1729269766468 3 4 0,99969482421875 
4 4 1729269775908 4 4 0,623291015625 
4 0 1729269785764 0 4 0 
4 2 1729269795064 2 4 1,22119140625 
0 3 1729269803375 3 4 0,701690673828125 
2 0 1729269810211 0 4 0 
4 4 1729269818828 4 4 0,817779541015625 
0 4 1729269827960 4 4 0,75970458984375 
2 3 1729269834978 3 4 0,733001708984375 
4 4 1729269842369 4 4 0,831634521484375 
0 2 1729269851126 2 4 1,19430541992188 
3 0 1729269860510 0 4 0 
1 3 1729269869991 1 4 1,02578735351563 
3 3 1729269879820 3 4 0,8446044921875 
0 4 1729269888215 4 4 0,77197265625 
1 1 1729269894898 1 4 0,68829345703125 
1 4 1729269901637 4 4 0,942169189453125 
2 0 1729269910184 0 4 0 
1 2 1729269919498 2 4 0,9544677734375 
1 3 1729269927072 3 4 1,15145874023438 
0 1 1729269935842 1 4 0,774078369140625 
1 2 1729269943888 2 4 0,828216552734375 
2 0 1729269950502 0 4 0 
3 2 1729269957895 2 4 0,956817626953125 
3 1 1729269966262 1 4 0,88397216796875 
1 4 1729269973264 4 4 1,1361083984375 
4 0 1729269981966 0 4 0 
2 2 1729269990095 2 4 0,79132080078125 
4 0 1729269998949 0 4 0 
1 1 1729270006398 1 4 0,85748291015625 
0 1 1729270013652 1 4 1,19329833984375 
2 1 1729270023119 1 4 0,64935302734375 
3 0 1729270031041 0 4 0 
2 1 1729270038503 1 4 0,66571044921875 
0 1 1729270046689 1 4 0,679443359375 
1 0 1729270054861 0 4 0 
4 1 1729270063812 1 4 0,78765869140625 
3 4 1729270071190 4 4 0,730224609375 
0 4 1729270079279 4 4 0,65155029296875 
1 1 1729270087883 1 4 0,707763671875 
1 0 1729270096279 0 4 0 
2 0 1729270104520 0 4 0 
2 4 1729270111565 4 4 0,70562744140625 
1 0 1729270120308 0 4 0 
0 2 1729270128647 2 4 0,88824462890625 
2 2 1729270137222 2 4 0,7874755859375 
1 1 1729270144030 1 4 1,08197021484375 
0 3 1729270152453 3 4 0,6888427734375 
0 2 1729270159219 2 4 0,69622802734375 
0 4 1729270167377 4 4 0,621337890625 
3 0 1729270174964 0 4 0 
