Visual_stim Tactile_stim Timestamp Position Strength Response_Time
0 0 1729781209185 0 0 0 
0 3 1729781332420 2 4 1,29072570800781 
2 0 1729781356168 0 4 0 
4 4 1729781365912 4 4 0 
1 4 1729781374002 3 4 0,6383056640625 
0 2 1729781384944 2 4 0,605941772460938 
4 1 1729781395095 1 4 0,624313354492188 
0 2 1729781403336 2 4 0,634017944335938 
3 0 1729781411397 0 4 0 
1 0 1729781419805 0 4 0 
2 3 1729781427741 3 4 0,620803833007813 
1 2 1729781436137 2 4 0,87200927734375 
2 0 1729781444880 0 4 0 
2 2 1729781452816 2 4 0,660308837890625 
4 0 1729781459109 0 4 0 
3 3 1729781468866 1 4 0,844818115234375 
3 3 1729781479364 3 4 0,664703369140625 
3 3 1729781488844 3 4 0,647735595703125 
0 4 1729781495904 4 4 0,539825439453125 
1 3 1729781505356 3 4 0,592437744140625 
4 4 1729781514265 4 4 0,661895751953125 
0 2 1729781523343 2 4 1,0948486328125 
1 2 1729781531195 2 4 0,55413818359375 
4 2 1729781539241 2 4 0,73516845703125 
1 1 1729781548013 1 4 0,633941650390625 
4 3 1729781554667 3 4 0,62322998046875 
2 2 1729781563730 1 4 0,52618408203125 
0 3 1729781572320 3 4 0,86956787109375 
0 4 1729781579364 4 4 0,594512939453125 
0 2 1729781587008 2 4 0,64703369140625 
0 3 1729781593272 3 4 0,523345947265625 
4 0 1729781600471 0 4 0 
4 4 1729781610703 4 4 0,565216064453125 
2 2 1729781619195 2 4 0,494049072265625 
0 4 1729781626058 4 4 0,55023193359375 
1 3 1729781634036 3 4 0,6644287109375 
1 1 1729781642000 1 4 0,511749267578125 
3 2 1729781650422 2 4 0,5108642578125 
1 1 1729781657466 1 4 0,93994140625 
1 0 1729781664816 0 4 0 
4 0 1729781673017 0 4 0 
0 1 1729781680632 1 4 0,776458740234375 
0 3 1729781688415 3 4 0,606201171875 
2 0 1729781695362 0 4 0 
1 0 1729781702880 0 4 0 
2 4 1729781711678 2 4 0,833221435546875 
3 3 1729781719989 3 4 0,608917236328125 
2 0 1729781727967 0 4 0,5919189453125 
3 0 1729781734732 0 4 0 
1 0 1729781744033 0 4 0 
3 1 1729781751926 1 4 0,59136962890625 
0 1 1729781759320 1 4 0,73309326171875 
1 1 1729781767407 1 4 0,703369140625 
3 0 1729781774048 0 4 0 
0 1 1729781782750 1 4 0,68798828125 
2 2 1729781789613 2 4 0,47027587890625 
0 1 1729781797104 1 4 0,63592529296875 
2 1 1729781805193 1 4 0,52325439453125 
1 4 1729781812752 4 4 0,6778564453125 
0 4 1729781821564 4 4 0,7322998046875 
3 0 1729781829430 0 4 0 
4 4 1729781837254 4 4 0,48199462890625 
4 0 1729781844744 0 4 0 
3 4 1729781853947 4 4 1,385498046875 
2 1 1729781864805 1 4 0,6363525390625 
