Visual_stim Tactile_stim Timestamp Position Strength Response_Time
0 0 1730998491095 0 0 0 
2 0 1730998542940 0 4 0 
4 4 1730998558348 4 4 0,898521423339844 
0 1 1730998565295 1 4 0,468353271484375 
1 1 1730998572924 1 4 0,692909240722656 
3 0 1730998581223 0 4 0 
4 1 1730998590507 1 4 0,541656494140625 
2 4 1730998598237 2 4 0,569679260253906 
0 1 1730998608133 1 4 0,63336181640625 
1 0 1730998614593 0 4 0,721664428710938 
0 3 1730998627431 3 4 1,00845336914063 
1 3 1730998633931 3 4 0,67578125 
3 3 1730998641198 3 4 0,468551635742188 
3 3 1730998647867 3 4 0,494781494140625 
0 2 1730998653993 2 4 0,54058837890625 
0 2 1730998661455 2 4 0,454757690429688 
2 1 1730998668387 1 4 0,466842651367188 
2 0 1730998674820 0 4 0 
2 3 1730998682644 3 4 0,524688720703125 
3 0 1730998690079 0 4 0 
4 0 1730998698542 0 4 0 
1 4 1730998706992 4 4 0,56439208984375 
2 1 1730998713286 1 4 0,45538330078125 
3 2 1730998720567 2 4 0,482666015625 
1 1 1730998727905 1 4 0,56732177734375 
1 1 1730998735547 1 4 0,59222412109375 
3 0 1730998742424 0 4 0 
4 0 1730998751029 0 4 0 
0 4 1730998759645 4 4 0,647674560546875 
4 3 1730998766133 3 4 0,56640625 
2 0 1730998773875 0 4 0 
3 0 1730998783383 0 4 0 
0 4 1730998791667 4 4 0,579071044921875 
1 0 1730998798696 0 4 0 
2 2 1730998809027 2 4 0,590423583984375 
0 3 1730998815040 3 4 0,4158935546875 
4 4 1730998822865 4 4 0,498321533203125 
2 2 1730998830801 2 4 0,512176513671875 
3 1 1730998838417 1 4 0,43975830078125 
2 2 1730998844501 2 4 0,52362060546875 
2 2 1730998851058 2 4 0,511749267578125 
0 1 1730998858380 1 4 0,5406494140625 
0 3 1730998865939 3 4 0,56365966796875 
4 2 1730998872525 2 4 0,484344482421875 
0 2 1730998879654 2 4 0,451568603515625 
4 0 1730998885250 0 4 0 
3 3 1730998893951 3 4 0,497802734375 
0 2 1730998901455 2 4 0,44342041015625 
3 4 1730998909168 3 4 0,495086669921875 
1 2 1730998916143 2 4 0,49627685546875 
1 2 1730998922881 2 4 0,482757568359375 
0 4 1730998929925 4 4 0,536529541015625 
4 0 1730998936468 0 4 0 
1 0 1730998944919 0 4 0 
2 0 1730998952673 0 4 0 
1 1 1730998961374 1 4 0,550384521484375 
4 4 1730998968126 4 4 0,3707275390625 
4 4 1730998975281 4 4 0,568115234375 
1 0 1730998983218 0 4 0 
1 4 1730998990694 2 4 0,48291015625 
0 3 1730998997434 3 4 0,57952880859375 
0 1 1730999004936 1 4 0,4984130859375 
0 4 1730999013080 4 4 0,788330078125 
3 3 1730999020626 3 4 0,5225830078125 
1 3 1730999026988 3 4 0,496826171875 
