Visual_stim Tactile_stim Timestamp Position Strength Response_Time
0 0 1730195852540 0 0 0 
0 3 1730195974350 3 4 0 
3 0 1730195996694 0 4 0 
0 3 1730196006787 3 4 1,36029052734375 
0 4 1730196017034 4 4 1,05514526367188 
0 4 1730196026612 4 4 1,19386291503906 
2 1 1730196035744 1 4 0,828765869140625 
1 2 1730196043638 2 4 0,9285888671875 
4 0 1730196052061 0 4 0 
1 1 1730196062363 1 4 0,966171264648438 
1 1 1730196070006 1 4 1,04093933105469 
0 1 1730196078735 1 4 1,09158325195313 
1 1 1730196086155 1 4 1,0413818359375 
1 4 1730196094649 4 4 0,84442138671875 
0 2 1730196104978 2 4 0,801513671875 
0 2 1730196112482 2 4 0,743621826171875 
3 0 1730196118663 0 4 0 
0 2 1730196128588 2 4 1,01132202148438 
0 1 1730196136524 1 4 0,911773681640625 
2 0 1730196144153 0 4 0 
3 3 1730196152423 3 4 1,06552124023438 
4 2 1730196160679 4 4 0,89727783203125 
0 2 1730196169896 2 4 0,938720703125 
0 4 1730196177011 4 4 1,03564453125 
1 0 1730196184807 0 4 0 
3 2 1730196195498 2 4 1,57919311523438 
1 0 1730196203990 0 4 0 
1 0 1730196212384 0 4 0 
4 0 1730196222298 0 4 0 
3 0 1730196232446 0 4 0 
2 0 1730196241913 0 4 0 
0 3 1730196252605 3 4 1,20355224609375 
1 3 1730196260025 1 4 1,8448486328125 
4 1 1730196270092 4 4 1,84805297851563 
2 2 1730196281661 2 4 1,21713256835938 
0 1 1730196288956 1 4 1,07958984375 
2 2 1730196296195 2 4 0,8697509765625 
1 1 1730196302948 1 4 0,787994384765625 
1 3 1730196309923 3 4 1,44454956054688 
4 0 1730196318485 0 4 0 
2 2 1730196326142 2 4 1,20816040039063 
4 3 1730196335373 4 4 1,56756591796875 
3 3 1730196344309 3 4 0,787139892578125 
4 4 1730196351353 4 4 0,799896240234375 
1 0 1730196357799 0 4 0 
2 2 1730196367642 2 4 1,24505615234375 
4 4 1730196374575 4 4 0,957763671875 
0 1 1730196382818 1 4 1,20599365234375 
2 1 1730196391101 1 4 1,108642578125 
1 2 1730196399245 2 4 1,3050537109375 
0 3 1730196408322 3 4 1,26019287109375 
3 0 1730196415756 0 4 0 
4 0 1730196424123 0 4 0 
2 0 1730196434160 0 4 0 
1 4 1730196444365 2 4 1,0958251953125 
4 4 1730196453053 4 4 1,387451171875 
2 4 1730196462450 2 4 1,29766845703125 
0 4 1730196471555 4 4 1,17596435546875 
3 3 1730196478740 3 4 1,30584716796875 
3 3 1730196487538 3 4 1,09613037109375 
3 4 1730196496560 4 4 1,440185546875 
3 1 1730196503842 3 4 1,18865966796875 
2 0 1730196510926 0 4 0 
4 4 1730196520296 4 4 1,0506591796875 
2 3 1730196528203 3 4 1,38677978515625 
