Visual_stim Tactile_stim Timestamp Position Strength Response_Time
0 0 1729674604263 0 0 0 
1 0 1729674634163 0 4 0 
2 3 1729674645799 3 4 1,9871940612793 
1 0 1729674656783 0 4 0 
3 4 1729674666347 4 4 0,689994812011719 
4 1 1729674673683 1 4 0,5074462890625 
2 0 1729674680226 0 4 0 
3 3 1729674688302 3 4 0,594688415527344 
3 2 1729674695836 2 4 0,454483032226563 
4 4 1729674702795 4 4 0,414741516113281 
3 0 1729674710884 0 4 0,552383422851563 
1 1 1729674723539 1 4 0,890007019042969 
3 3 1729674732075 3 4 0,536865234375 
4 3 1729674738994 1 4 0,524429321289063 
1 3 1729674746790 3 4 0,610946655273438 
4 4 1729674755214 1 4 0,441177368164063 
1 1 1729674764275 1 4 0,56341552734375 
2 2 1729674770499 2 4 0,647811889648438 
1 4 1729674776777 4 4 0,524810791015625 
2 1 1729674784504 1 4 0,662841796875 
4 0 1729674791659 0 4 0 
1 3 1729674800332 1 4 0,622146606445313 
3 1 1729674808517 2 4 0,6246337890625 
0 4 1729674816593 4 4 1,19206237792969 
4 4 1729674825964 4 4 0,608489990234375 
0 1 1729674833454 1 4 0,649169921875 
1 0 1729674841097 0 4 0 
3 0 1729674849352 0 4 0 
2 4 1729674858569 2 4 0,622283935546875 
0 4 1729674866657 4 4 0,67559814453125 
0 2 1729674873576 2 4 0,72052001953125 
0 1 1729674881552 1 4 0,5526123046875 
2 2 1729674888847 2 4 0,582855224609375 
2 1 1729674896394 1 4 0,551971435546875 
3 3 1729674903688 1 4 0,55078125 
0 3 1729674910760 3 4 0,632415771484375 
1 1 1729674917374 1 4 0,493804931640625 
3 3 1729674923750 3 4 0,592559814453125 
2 0 1729674930210 0 4 0 
4 0 1729674938494 0 4 0 
1 2 1729674945845 2 4 0,52252197265625 
0 3 1729674952875 3 4 0,6082763671875 
1 4 1729674960197 4 4 0,650299072265625 
0 2 1729674968217 4 4 0,60626220703125 
0 4 1729674975191 2 4 1,04083251953125 
0 2 1729674984060 2 4 0,632568359375 
1 2 1729674990143 2 4 0,53814697265625 
4 4 1729674997216 4 4 0,536712646484375 
4 2 1729675004051 4 4 0,578216552734375 
2 0 1729675011542 0 4 0 
0 1 1729675020145 1 4 0,76446533203125 
0 3 1729675028555 3 4 0,6097412109375 
2 2 1729675036893 2 4 0,53814697265625 
0 4 1729675043228 4 4 0,567596435546875 
1 0 1729675051414 0 4 0 
0 1 1729675058638 1 4 0,64892578125 
4 0 1729675065850 0 4 0 
3 0 1729675075052 0 4 0 
4 0 1729675082821 0 4 0 
0 2 1729675091661 2 4 1,177978515625 
2 0 1729675099193 0 4 0 
3 0 1729675107714 0 4 0 
0 3 1729675115788 3 4 0,6055908203125 
1 1 1729675122595 1 4 0,95745849609375 
2 2 1729675130936 2 4 0,48565673828125 
