Visual_stim Tactile_stim Timestamp Position Strength Response_Time
0 0 1728568928502 0 0 0 
3 4 1728568984463 2 4 0 
3 0 1728568997824 0 4 0 
2 1 1728569006790 1 4 0,580039978027344 
1 3 1728569014253 3 4 0,551620483398438 
3 1 1728569021730 1 4 0,481254577636719 
4 4 1728569028815 4 4 0,567756652832031 
3 0 1728569037377 0 4 0 
4 3 1728569046259 3 4 0,605865478515625 
0 1 1728569053275 1 4 0,664024353027344 
2 1 1728569060264 1 4 0,538848876953125 
1 3 1728569067351 3 4 0,566162109375 
0 3 1728569074882 1 4 0,594192504882813 
0 1 1728569083903 1 4 0,791717529296875 
2 2 1728569093746 2 4 0,525314331054688 
1 4 1728569102072 2 4 0,4898681640625 
1 1 1728569111455 1 4 0,526260375976563 
3 3 1728569119990 3 4 0,511138916015625 
1 1 1728569128468 1 4 0,828414916992188 
0 1 1728569135261 1 4 0,495697021484375 
1 0 1728569142877 0 4 0 
0 3 1728569152359 3 4 1,2049560546875 
3 0 1728569160057 0 4 0 
3 2 1728569167602 2 4 0,87255859375 
4 0 1728569175634 0 4 0 
0 2 1728569184308 2 4 1,1904296875 
1 2 1728569191992 2 4 0,594696044921875 
2 0 1728569201252 0 4 0,637420654296875 
0 3 1728569210412 3 4 0,7301025390625 
1 1 1728569218082 1 4 0,661529541015625 
0 2 1728569225141 2 4 0,581878662109375 
4 2 1728569233341 4 4 0,509979248046875 
1 1 1728569240636 1 4 0,568084716796875 
2 2 1728569248724 2 4 0,55023193359375 
4 1 1728569255253 1 4 0,5789794921875 
2 3 1728569262563 3 4 0,548614501953125 
0 2 1728569269371 2 4 0,510162353515625 
2 0 1728569276262 0 4 0,604644775390625 
3 3 1728569283544 3 4 0,744781494140625 
2 4 1728569290365 4 4 0,8167724609375 
1 0 1728569298885 0 4 0 
4 4 1728569306668 4 4 0,579986572265625 
0 1 1728569315034 1 4 0,982940673828125 
2 2 1728569322078 2 4 0,554534912109375 
0 2 1728569330084 2 4 0,75946044921875 
1 2 1728569337685 2 4 0,648101806640625 
2 0 1728569344716 0 4 0 
0 4 1728569352318 4 4 1,37216186523438 
1 0 1728569360686 0 4 0 
0 3 1728569370179 3 4 1,051513671875 
4 0 1728569378825 0 4 0 
0 4 1728569387415 4 4 0,90179443359375 
3 0 1728569397117 0 4 0 
4 4 1728569406028 4 4 0,52667236328125 
2 0 1728569415147 0 4 0 
0 4 1728569423584 4 4 1,26214599609375 
0 4 1728569433162 2 4 0,91400146484375 
4 0 1728569441669 0 4 0 
3 3 1728569451358 3 4 0,61004638671875 
1 0 1728569459737 0 4 0 
3 3 1728569468482 3 4 1,07928466796875 
4 0 1728569475931 0 4 0 
1 4 1728569485007 4 4 0,635986328125 
4 4 1728569493556 4 4 0,61834716796875 
2 2 1728569500516 2 4 0,745849609375 
