Visual_stim Tactile_stim Timestamp Position Strength Response_Time
0 0 1730972010271 0 0 0 
2 2 1730972191552 2 4 1,20095825195313 
1 1 1730972213965 1 4 0,704376220703125 
1 3 1730972221872 1 4 0,845367431640625 
2 2 1730972231048 2 4 0,579132080078125 
2 3 1730972238455 2 4 0 
1 2 1730972247713 1 4 0,437545776367188 
2 4 1730972255244 2 4 0,443359375 
3 3 1730972263639 3 4 0,441665649414063 
0 1 1730972271366 1 4 0,469696044921875 
3 3 1730972280360 3 4 0,525115966796875 
0 4 1730972289130 4 4 0,52484130859375 
1 0 1730972298973 0 4 0 
1 0 1730972313674 0 4 0 
4 4 1730972322290 4 4 0,621429443359375 
3 0 1730972329558 0 4 0,718719482421875 
0 1 1730972338997 1 4 0,662445068359375 
2 0 1730972345959 0 4 0 
3 0 1730972354172 0 4 0,69342041015625 
4 4 1730972367859 4 4 0,83306884765625 
3 2 1730972376685 2 4 0,70208740234375 
0 1 1730972383074 1 4 0,73272705078125 
1 0 1730972390495 0 4 0 
0 3 1730972399920 1 4 0,856781005859375 
0 1 1730972407368 1 4 0,661712646484375 
0 4 1730972415317 4 4 0,59405517578125 
0 2 1730972422528 2 4 0,523651123046875 
2 0 1730972428933 0 4 0,60919189453125 
1 4 1730972437509 4 4 0,664764404296875 
1 1 1730972445626 1 4 0,647125244140625 
4 0 1730972452488 0 4 0 
2 0 1730972460662 0 4 0 
0 2 1730972474487 2 4 0,7904052734375 
2 1 1730972482645 2 4 0,579986572265625 
1 4 1730972490009 4 4 1,12576293945313 
0 2 1730972499868 2 4 0,69232177734375 
4 1 1730972507594 1 4 0,664764404296875 
4 4 1730972519762 4 4 0,64715576171875 
1 1 1730972526693 1 4 0,6363525390625 
0 4 1730972534252 4 4 0,57830810546875 
3 0 1730972541449 0 4 0,731689453125 
1 0 1730972548662 0 4 0 
0 2 1730972557780 2 4 0,8609619140625 
0 3 1730972566510 3 4 0,71600341796875 
1 2 1730972572969 2 4 0,8587646484375 
4 3 1730972584037 3 4 0,72210693359375 
3 0 1730972596414 0 4 0 
4 0 1730972606090 0 4 0 
3 4 1730972615306 4 4 0 
4 2 1730972623313 2 4 0 
4 0 1730972635842 0 4 0 
4 4 1730972644822 4 4 0,56640625 
1 3 1730972653132 3 4 0,68994140625 
2 2 1730972661749 2 4 0,537109375 
4 0 1730972668237 0 4 0 
2 2 1730972677718 2 4 0,8558349609375 
0 3 1730972684289 3 4 0,68939208984375 
3 3 1730972691668 3 4 0,55078125 
2 1 1730972698600 1 4 0,63299560546875 
3 3 1730972704712 3 4 0,62225341796875 
0 4 1730972712174 4 4 0,7049560546875 
0 3 1730972719595 3 4 0,63690185546875 
3 1 1730972730885 1 4 0,68963623046875 
2 0 1730972737553 0 4 0 
1 1 1730972746546 1 4 0,64764404296875 
