Visual_stim Tactile_stim Timestamp Position Strength Response_Time
0 0 1730112134755 0 0 0 
4 0 1730112162691 0 4 0 
0 2 1730112177043 2 4 0,411380767822266 
2 0 1730112185494 0 4 0 
4 4 1730112193067 4 4 0,597030639648438 
1 2 1730112201683 2 4 0,44317626953125 
2 2 1730112209842 2 4 0,395942687988281 
1 4 1730112215801 4 4 0 
3 1 1730112229373 1 4 0,437980651855469 
1 1 1730112235972 1 4 0,51123046875 
2 2 1730112242976 2 4 0,452537536621094 
1 3 1730112250161 3 4 0,5908203125 
2 0 1730112270304 0 4 0 
4 3 1730112277293 3 4 0,660842895507813 
0 3 1730112283545 3 4 0,702590942382813 
0 3 1730112290631 3 4 0,483993530273438 
1 1 1730112299444 1 4 0,481231689453125 
2 0 1730112306348 0 4 0,454620361328125 
0 2 1730112314020 2 4 0,733322143554688 
1 3 1730112322888 3 4 0,54925537109375 
0 1 1730112329055 1 4 0,542648315429688 
2 0 1730112335961 0 4 0,480743408203125 
3 0 1730112342937 0 4 0 
4 4 1730112351415 4 4 0,4693603515625 
4 4 1730112359099 4 4 0,60504150390625 
3 2 1730112365363 2 4 0,8038330078125 
3 0 1730112374064 0 4 0 
4 0 1730112383391 0 4 0 
1 4 1730112391633 4 4 0,485519409179688 
0 1 1730112401199 1 4 0,930389404296875 
0 3 1730112410735 3 4 1,0511474609375 
2 1 1730112418350 1 4 0,721282958984375 
0 4 1730112427538 2 4 1,12371826171875 
0 4 1730112437269 4 4 0,525360107421875 
4 0 1730112445539 0 4 0 
0 4 1730112454157 4 4 0,49615478515625 
4 1 1730112463164 1 4 0,427276611328125 
0 2 1730112470765 2 4 0,453338623046875 
0 1 1730112476695 1 4 0,50762939453125 
1 1 1730112482863 1 4 0,483673095703125 
3 3 1730112490673 3 4 0,4656982421875 
2 4 1730112497467 4 4 0,46844482421875 
3 4 1730112505138 4 4 0,453094482421875 
1 0 1730112511890 0 4 0,45318603515625 
3 3 1730112519463 3 4 0,509033203125 
3 0 1730112526549 0 4 0,5101318359375 
2 2 1730112534179 2 4 0,524993896484375 
4 0 1730112542615 0 4 0 
1 2 1730112551582 2 4 0,494354248046875 
2 1 1730112557611 1 4 0,549560546875 
4 2 1730112563528 2 4 0,499664306640625 
2 2 1730112571701 2 4 0,510711669921875 
1 1 1730112579177 1 4 0,957916259765625 
3 0 1730112587946 0 4 0,497314453125 
1 0 1730112595409 0 4 0 
3 3 1730112602967 3 4 0,4952392578125 
0 4 1730112609914 4 4 0,553009033203125 
0 1 1730112617905 1 4 0,507232666015625 
0 2 1730112624964 2 4 0,59228515625 
2 3 1730112631647 3 4 0,4932861328125 
1 0 1730112640556 0 4 0 
0 3 1730112649565 3 4 0,51251220703125 
1 0 1730112658001 0 4 0 
3 3 1730112666660 3 4 0,48388671875 
4 4 1730112675683 4 4 0,50970458984375 
