ID,trial_index,condition_label,trial_type_label,visual_stimulus,tactile_stimulus,combo,felt_position,z_RT,error,visual_error,tactile_error
2,33,cube,SP,4,4,4-4,4,-0.7,0,,
2,34,cube,DP,3,2,3-2,2,-0.153,0,0,0
2,35,cube,DP,1,3,1-3,3,-0.28,0,0,0
2,36,cube,SP,2,2,2-2,2,-0.78,0,,
2,37,cube,OV,0,1,0-1,1,0.083,0,,
2,38,cube,DP,2,3,2-3,3,0.638,0,0,0
2,39,cube,OT,2,0,2-0,0,,0,,
2,40,cube,OT,2,0,2-0,0,,0,,
2,41,cube,OT,3,0,3-0,0,,0,,
2,42,cube,DP,1,2,1-2,2,-0.335,0,0,0
2,43,cube,SP,2,2,2-2,2,-0.779,0,,
2,44,cube,OT,3,0,3-0,0,,0,,
2,45,cube,OV,0,4,0-4,4,0.692,0,,
2,46,cube,OV,0,2,0-2,2,-1.333,0,,
2,47,cube,OV,0,3,0-3,3,-1.394,0,,
2,48,cube,SP,3,3,3-3,3,0.205,0,,
2,49,cube,OT,1,0,1-0,0,,0,,
2,50,cube,DP,3,1,3-1,1,-0.235,0,0,0
2,51,cube,OT,4,0,4-0,0,,0,,
2,52,cube,OT,1,0,1-0,0,,0,,
2,53,cube,OV,0,4,0-4,4,1.437,0,,
2,54,cube,SP,1,1,1-1,1,1.984,0,,
2,55,cube,DP,1,4,1-4,4,0.693,0,0,0
2,56,cube,OT,4,0,4-0,0,,0,,
2,57,cube,SP,2,2,2-2,2,-0.642,0,,
2,58,cube,SP,1,1,1-1,2,-0.162,1,,
2,59,cube,DP,2,1,2-1,1,0.645,0,0,0
2,60,cube,OV,0,2,0-2,2,1.679,0,,
2,61,cube,SP,4,4,4-4,4,-0.742,0,,
2,62,cube,OT,2,0,2-0,0,,0,,
2,63,cube,DP,4,1,4-1,2,0.342,1,0,1
2,64,cube,OV,0,3,0-3,3,0.442,0,,
2,1,hand,OV,0,3,0-3,3,0.181,0,,
2,2,hand,OT,2,0,2-0,0,,0,,
2,3,hand,OT,3,0,3-0,0,,0,,
2,4,hand,SP,1,1,1-1,1,-0.05,0,,
2,5,hand,DP,2,1,2-1,2,0.816,1,1,0
2,6,hand,OV,0,4,0-4,4,0.807,0,,
2,7,hand,OV,0,4,0-4,4,1.366,0,,
2,8,hand,OV,0,2,0-2,2,1.466,0,,
2,9,hand,OT,1,0,1-0,0,,0,,
2,10,hand,OT,4,0,4-0,0,,0,,
2,11,hand,DP,4,1,4-1,4,0.3,1,1,0
2,12,hand,OV,0,3,0-3,3,-0.621,0,,
2,13,hand,OT,2,0,2-0,0,,0,,
2,14,hand,OV,0,2,0-2,2,,0,,
2,15,hand,OT,4,0,4-0,0,,0,,
2,16,hand,OV,0,1,0-1,3,-0.104,1,,
2,17,hand,SP,4,4,4-4,4,-0.763,0,,
2,18,hand,DP,1,2,1-2,1,-0.554,1,1,0
2,19,hand,DP,4,2,4-2,4,-1.437,1,1,0
2,20,hand,DP,1,2,1-2,1,-0.012,1,1,0
2,21,hand,DP,2,1,2-1,2,0.25,1,1,0
2,22,hand,DP,3,1,3-1,1,-0.66,0,0,0
2,23,hand,DP,4,3,4-3,4,0.442,1,1,0
2,24,hand,DP,1,4,1-4,2,-1.22,1,0,1
2,25,hand,OT,2,0,2-0,0,,0,,
2,26,hand,OV,0,2,0-2,2,-0.915,0,,
2,27,hand,SP,2,2,2-2,2,-1.333,0,,
2,28,hand,OT,1,0,1-0,0,,0,,
2,29,hand,SP,4,4,4-4,4,-0.56,0,,
2,30,hand,SP,1,1,1-1,1,-0.504,0,,
2,31,hand,SP,3,3,3-3,3,0.766,0,,
2,32,hand,OV,0,1,0-1,1,-0.016,0,,
2,33,hand,DP,3,2,3-2,2,-0.012,0,0,0
2,34,hand,SP,1,1,1-1,1,-0.369,0,,
2,35,hand,OV,0,4,0-4,4,-0.67,0,,
2,36,hand,SP,4,4,4-4,4,0.918,0,,
2,37,hand,OT,2,0,2-0,0,,0,,
2,38,hand,OT,4,0,4-0,0,,0,,
2,39,hand,OV,0,3,0-3,1,0.448,1,,
2,40,hand,OT,1,0,1-0,0,,0,,
2,41,hand,DP,1,3,1-3,1,-1.228,1,1,0
2,42,hand,OT,3,0,3-0,0,,0,,
2,43,hand,SP,2,2,2-2,2,0.114,0,,
2,44,hand,SP,2,2,2-2,2,0.2,0,,
2,45,hand,OV,0,3,0-3,3,-0.063,0,,
2,46,hand,DP,2,3,2-3,1,3.106,1,0,1
2,47,hand,OT,3,0,3-0,0,,0,,
2,48,hand,SP,3,3,3-3,2,-0.209,1,,
2,49,hand,DP,3,4,3-4,4,,0,0,0
2,50,hand,DP,1,4,1-4,3,3.507,1,0,1
2,51,hand,OV,0,1,0-1,1,0.038,0,,
2,52,hand,OV,0,2,0-2,2,0.035,0,,
2,53,hand,OT,1,0,1-0,0,,0,,
2,54,hand,OT,4,0,4-0,0,,0,,
2,55,hand,SP,3,3,3-3,3,-0.829,0,,
2,56,hand,OT,3,0,3-0,0,,0,,
2,57,hand,SP,3,3,3-3,3,1.215,0,,
