participant,condition,stimulation_type,ruler_position,distance,answer
9,cube,SP,0.15,0.2,38.0
9,cube,SP,0.12,0.23,42.0
9,cube,DP,0.12,0.23,42.0
9,cube,DP,0.18,0.17,36.0
9,cube,DP,0.21,0.14,33.0
9,cube,DP,0.27,0.07999998,27.0
9,cube,DP,0.3,0.04999998,26.0
9,cube,DP,0.27,0.07999998,27.0
9,cube,DP,0.21,0.14,34.0
9,cube,DP,0.33,0.01999998,22.0
9,cube,DP,0.18,0.17,36.0
9,cube,DP,0.24,0.11,31.0
9,hand,OV,0.3,0.04999998,15.0
9,hand,OV,0.12,0.23,36.0
9,hand,OV,0.21,0.14,23.0
9,hand,OV,0.33,0.01999998,11.0
9,hand,OV,0.27,0.07999998,18.0
9,hand,OV,0.27,0.07999998,17.0
9,hand,OV,0.33,0.01999998,11.0
9,hand,OV,0.12,0.23,32.0
9,hand,OV,0.24,0.11,19.0
9,hand,OV,0.21,0.14,24.0
9,hand,OT,0.21,0.14,21.0
9,hand,OT,0.18,0.17,27.0
9,hand,OT,0.24,0.11,19.0
9,hand,OT,0.27,0.07999998,20.0
9,hand,OT,0.33,0.01999998,14.0
9,hand,OT,0.21,0.14,21.0
9,hand,OT,0.24,0.11,17.0
9,hand,OT,0.27,0.07999998,16.0
9,hand,OT,0.15,0.2,28.0
9,hand,OT,0.12,0.23,32.0
9,hand,SP,0.27,0.07999998,17.0
9,hand,SP,0.18,0.17,27.0
9,hand,SP,0.3,0.04999998,13.0
9,hand,SP,0.15,0.2,28.0
9,hand,SP,0.24,0.11,19.0
9,hand,SP,0.27,0.07999998,18.0
9,hand,SP,0.21,0.14,25.0
9,hand,SP,0.12,0.23,33.0
9,hand,SP,0.24,0.11,20.0
9,hand,SP,0.18,0.17,28.0
9,hand,DP,0.15,0.2,30.0
9,hand,DP,0.24,0.11,18.0
9,hand,DP,0.12,0.23,29.0
9,hand,DP,0.33,0.01999998,9.0
9,hand,DP,0.3,0.04999998,13.0
9,hand,DP,0.27,0.07999998,15.0
9,hand,DP,0.21,0.14,19.0
9,hand,DP,0.33,0.01999998,9.0
9,hand,DP,0.18,0.17,24.0
9,hand,DP,0.15,0.2,27.0
10,cube,OV,0.27,0.07999998,23.0
10,cube,OV,0.24,0.11,25.0
10,cube,OV,0.12,0.23,33.0
10,cube,OV,0.33,0.01999998,14.0
10,cube,OV,0.15,0.2,31.0
10,cube,OV,0.24,0.11,22.0
10,cube,OV,0.3,0.04999998,17.0
10,cube,OV,0.27,0.07999998,20.0
10,cube,OV,0.21,0.14,25.0
10,cube,OV,0.18,0.17,29.0
10,cube,OT,0.3,0.04999998,18.0
10,cube,OT,0.12,0.23,33.0
10,cube,OT,0.24,0.11,21.0
10,cube,OT,0.18,0.17,29.0
10,cube,OT,0.33,0.01999998,13.0
10,cube,OT,0.3,0.04999998,15.0
10,cube,OT,0.27,0.07999998,19.0
10,cube,OT,0.12,0.23,33.0
10,cube,OT,0.18,0.17,30.0
10,cube,OT,0.21,0.14,26.0
10,cube,SP,0.33,0.01999998,15.0
10,cube,SP,0.21,0.14,25.0
10,cube,SP,0.24,0.11,21.0
10,cube,SP,0.18,0.17,27.0
10,cube,SP,0.12,0.23,33.0
10,cube,SP,0.33,0.01999998,12.0
10,cube,SP,0.15,0.2,30.0
10,cube,SP,0.21,0.14,26.0
10,cube,SP,0.18,0.17,27.0
10,cube,SP,0.27,0.07999998,20.0
10,cube,DP,0.3,0.04999998,19.0
10,cube,DP,0.18,0.17,28.0
10,cube,DP,0.27,0.07999998,20.0
10,cube,DP,0.21,0.14,26.0
10,cube,DP,0.12,0.23,33.0
10,cube,DP,0.12,0.23,35.0
10,cube,DP,0.3,0.04999998,17.0
10,cube,DP,0.18,0.17,28.0
10,cube,DP,0.15,0.2,32.0
10,cube,DP,0.33,0.01999998,15.0
10,hand,OV,0.24,0.11,32.0
10,hand,OV,0.3,0.04999998,27.0
10,hand,OV,0.33,0.01999998,22.0
10,hand,OV,0.15,0.2,38.0
10,hand,OV,0.18,0.17,35.0
10,hand,OV,0.15,0.2,36.0
10,hand,OV,0.12,0.23,38.0
10,hand,OV,0.33,0.01999998,18.0
10,hand,OV,0.18,0.17,34.0
10,hand,OV,0.24,0.11,29.0
10,hand,OT,0.18,0.17,39.0
10,hand,OT,0.15,0.2,40.0
10,hand,OT,0.3,0.04999998,26.0
10,hand,OT,0.33,0.01999998,24.0
10,hand,OT,0.12,0.23,42.0
10,hand,OT,0.21,0.14,32.0
10,hand,OT,0.3,0.04999998,24.0
10,hand,OT,0.33,0.01999998,23.0
10,hand,OT,0.15,0.2,39.0
10,hand,OT,0.27,0.07999998,28.0
10,hand,SP,0.33,0.01999998,23.0
10,hand,SP,0.24,0.11,31.0
10,hand,SP,0.27,0.07999998,28.0
10,hand,SP,0.18,0.17,36.0
10,hand,SP,0.15,0.2,39.0
10,hand,SP,0.33,0.01999998,19.0
10,hand,SP,0.24,0.11,26.0
10,hand,SP,0.27,0.07999998,26.0
10,hand,SP,0.15,0.2,36.0
10,hand,SP,0.18,0.17,33.0
10,hand,DP,0.33,0.01999998,22.0
10,hand,DP,0.24,0.11,28.0
10,hand,DP,0.27,0.07999998,24.0
10,hand,DP,0.15,0.2,36.0
10,hand,DP,0.18,0.17,33.0
10,hand,DP,0.15,0.2,34.0
10,hand,DP,0.33,0.01999998,18.0
10,hand,DP,0.21,0.14,27.0
10,hand,DP,0.18,0.17,31.0
10,hand,DP,0.27,0.07999998,23.0
11,cube,OV,0.15,0.2,41.0
11,cube,OV,0.3,0.04999998,24.0
11,cube,OV,0.27,0.07999998,27.0
11,cube,OV,0.18,0.17,36.0
11,cube,OV,0.24,0.11,31.0
11,cube,OV,0.21,0.14,36.0
11,cube,OV,0.18,0.17,38.0
11,cube,OV,0.12,0.23,47.0
11,cube,OV,0.15,0.2,40.0
11,cube,OV,0.3,0.04999998,25.0
11,cube,OT,0.3,0.04999998,26.0
11,cube,OT,0.33,0.01999998,23.0
11,cube,OT,0.18,0.17,40.0
11,cube,OT,0.15,0.2,44.0
11,cube,OT,0.27,0.07999998,34.0
11,cube,OT,0.21,0.14,40.0
11,cube,OT,0.18,0.17,43.0
11,cube,OT,0.15,0.2,45.0
11,cube,OT,0.33,0.01999998,24.0
11,cube,OT,0.27,0.07999998,28.0
11,cube,SP,0.27,0.07999998,28.0
11,cube,SP,0.21,0.14,34.0
11,cube,SP,0.33,0.01999998,21.0
11,cube,SP,0.24,0.11,30.0
11,cube,SP,0.12,0.23,44.0
11,cube,SP,0.33,0.01999998,21.0
11,cube,SP,0.24,0.11,29.0
11,cube,SP,0.12,0.23,42.0
11,cube,SP,0.18,0.17,34.0
11,cube,SP,0.27,0.07999998,24.0
11,cube,DP,0.3,0.04999998,25.0
11,cube,DP,0.12,0.23,44.0
11,cube,DP,0.15,0.2,43.0
11,cube,DP,0.33,0.01999998,22.0
11,cube,DP,0.27,0.07999998,27.0
11,cube,DP,0.3,0.04999998,27.0
11,cube,DP,0.33,0.01999998,24.0
11,cube,DP,0.18,0.17,39.0
11,cube,DP,0.27,0.07999998,30.0
11,cube,DP,0.15,0.2,43.0
11,hand,OV,0.27,0.07999998,30.0
11,hand,OV,0.18,0.17,39.0
11,hand,OV,0.21,0.14,37.0
11,hand,OV,0.33,0.01999998,23.0
11,hand,OV,0.3,0.04999998,27.0
11,hand,OV,0.24,0.11,29.0
11,hand,OV,0.3,0.04999998,22.0
11,hand,OV,0.15,0.2,37.0
11,hand,OV,0.27,0.07999998,24.0
11,hand,OV,0.12,0.23,42.0
11,hand,OT,0.12,0.23,44.0
11,hand,OT,0.3,0.04999998,22.0
11,hand,OT,0.24,0.11,29.0
11,hand,OT,0.33,0.01999998,20.0
11,hand,OT,0.27,0.07999998,26.0
11,hand,OT,0.3,0.04999998,24.0
11,hand,OT,0.27,0.07999998,28.0
11,hand,OT,0.33,0.01999998,23.0
11,hand,OT,0.21,0.14,35.0
11,hand,OT,0.18,0.17,37.0
11,hand,SP,0.33,0.01999998,22.0
11,hand,SP,0.12,0.23,42.0
11,hand,SP,0.3,0.04999998,23.0
11,hand,SP,0.18,0.17,37.0
11,hand,SP,0.24,0.11,30.0
11,hand,SP,0.12,0.23,45.0
11,hand,SP,0.15,0.2,40.0
11,hand,SP,0.3,0.04999998,22.0
11,hand,SP,0.27,0.07999998,26.0
11,hand,SP,0.24,0.11,28.0
11,hand,DP,0.27,0.07999998,31.0
11,hand,DP,0.33,0.01999998,25.0
11,hand,DP,0.24,0.11,33.0
11,hand,DP,0.12,0.23,44.0
11,hand,DP,0.18,0.17,38.0
11,hand,DP,0.21,0.14,35.0
11,hand,DP,0.24,0.11,32.0
11,hand,DP,0.33,0.01999998,23.0
11,hand,DP,0.15,0.2,40.0
11,hand,DP,0.12,0.23,43.0
12,cube,OV,0.18,0.17,33.0
12,cube,OV,0.3,0.04999998,20.0
12,cube,OV,0.21,0.14,29.0
12,cube,OV,0.15,0.2,34.0
12,cube,OV,0.12,0.23,40.0
12,cube,OV,0.24,0.11,21.0
12,cube,OV,0.15,0.2,32.0
12,cube,OV,0.18,0.17,29.0
12,cube,OV,0.21,0.14,27.0
12,cube,OV,0.33,0.01999998,14.0
12,cube,OT,0.27,0.07999998,26.0
12,cube,OT,0.12,0.23,37.0
12,cube,OT,0.18,0.17,31.0
12,cube,OT,0.15,0.2,34.0
12,cube,OT,0.24,0.11,26.0
12,cube,OT,0.27,0.07999998,24.0
12,cube,OT,0.21,0.14,29.0
12,cube,OT,0.18,0.17,32.0
12,cube,OT,0.33,0.01999998,17.0
12,cube,OT,0.3,0.04999998,19.0
12,cube,SP,0.15,0.2,37.0
12,cube,SP,0.18,0.17,33.0
12,cube,SP,0.33,0.01999998,18.0
12,cube,SP,0.3,0.04999998,20.0
12,cube,SP,0.27,0.07999998,23.0
12,cube,SP,0.27,0.07999998,22.0
12,cube,SP,0.3,0.04999998,17.0
12,cube,SP,0.15,0.2,31.0
12,cube,SP,0.18,0.17,27.0
12,cube,SP,0.33,0.01999998,14.0
12,cube,DP,0.18,0.17,32.0
12,cube,DP,0.33,0.01999998,19.0
12,cube,DP,0.24,0.11,25.0
12,cube,DP,0.21,0.14,29.0
12,cube,DP,0.12,0.23,35.0
12,cube,DP,0.33,0.01999998,15.0
12,cube,DP,0.21,0.14,29.0
12,cube,DP,0.18,0.17,32.0
12,cube,DP,0.12,0.23,37.0
12,cube,DP,0.27,0.07999998,23.0
12,hand,OV,0.12,0.23,38.0
12,hand,OV,0.18,0.17,33.0
12,hand,OV,0.15,0.2,36.0
12,hand,OV,0.27,0.07999998,24.0
12,hand,OV,0.3,0.04999998,21.0
12,hand,OV,0.21,0.14,20.0
12,hand,OV,0.33,0.01999998,11.0
12,hand,OV,0.12,0.23,33.0
12,hand,OV,0.27,0.07999998,18.0
12,hand,OV,0.3,0.04999998,15.0
12,hand,OT,0.15,0.2,32.0
12,hand,OT,0.12,0.23,35.0
12,hand,OT,0.33,0.01999998,15.0
12,hand,OT,0.24,0.11,24.0
12,hand,OT,0.3,0.04999998,19.0
12,hand,OT,0.27,0.07999998,16.0
12,hand,OT,0.33,0.01999998,12.0
12,hand,OT,0.18,0.17,27.0
12,hand,OT,0.12,0.23,32.0
12,hand,OT,0.15,0.2,30.0
12,hand,SP,0.3,0.04999998,18.0
12,hand,SP,0.27,0.07999998,20.0
12,hand,SP,0.24,0.11,23.0
12,hand,SP,0.21,0.14,27.0
12,hand,SP,0.15,0.2,34.0
12,hand,SP,0.21,0.14,21.0
12,hand,SP,0.24,0.11,20.0
12,hand,SP,0.18,0.17,27.0
12,hand,SP,0.33,0.01999998,11.0
12,hand,SP,0.12,0.23,35.0
12,hand,DP,0.33,0.01999998,15.0
12,hand,DP,0.18,0.17,34.0
12,hand,DP,0.3,0.04999998,21.0
12,hand,DP,0.15,0.2,38.0
12,hand,DP,0.21,0.14,30.0
12,hand,DP,0.3,0.04999998,10.0
12,hand,DP,0.33,0.01999998,8.0
12,hand,DP,0.27,0.07999998,16.0
12,hand,DP,0.15,0.2,31.0
12,hand,DP,0.18,0.17,28.0
13,cube,OV,0.33,0.01999998,19.0
13,cube,OV,0.12,0.23,40.0
13,cube,OV,0.15,0.2,39.0
13,cube,OV,0.18,0.17,37.0
13,cube,OV,0.27,0.07999998,26.0
13,cube,OV,0.15,0.2,37.0
13,cube,OV,0.21,0.14,30.0
13,cube,OV,0.3,0.04999998,24.0
13,cube,OV,0.27,0.07999998,27.0
13,cube,OV,0.24,0.11,32.0
13,cube,OT,0.12,0.23,45.0
13,cube,OT,0.33,0.01999998,23.0
13,cube,OT,0.3,0.04999998,25.0
13,cube,OT,0.27,0.07999998,28.0
13,cube,OT,0.21,0.14,35.0
13,cube,OT,0.33,0.01999998,22.0
13,cube,OT,0.18,0.17,37.0
13,cube,OT,0.3,0.04999998,24.0
13,cube,OT,0.24,0.11,32.0
13,cube,OT,0.27,0.07999998,28.0
13,cube,SP,0.24,0.11,30.0
13,cube,SP,0.12,0.23,41.0
13,cube,SP,0.18,0.17,36.0
13,cube,SP,0.33,0.01999998,22.0
13,cube,SP,0.27,0.07999998,27.0
13,cube,SP,0.12,0.23,41.0
13,cube,SP,0.33,0.01999998,20.0
13,cube,SP,0.15,0.2,38.0
13,cube,SP,0.18,0.17,37.0
13,cube,SP,0.24,0.11,30.0
13,cube,DP,0.24,0.11,30.0
13,cube,DP,0.33,0.01999998,21.0
13,cube,DP,0.18,0.17,36.0
13,cube,DP,0.12,0.23,41.0
13,cube,DP,0.27,0.07999998,26.0
13,cube,DP,0.12,0.23,38.0
13,cube,DP,0.15,0.2,34.0
13,cube,DP,0.27,0.07999998,25.0
13,cube,DP,0.3,0.04999998,22.0
13,cube,DP,0.33,0.01999998,21.0
13,hand,OV,0.33,0.01999998,18.0
13,hand,OV,0.3,0.04999998,19.0
13,hand,OV,0.15,0.2,33.0
13,hand,OV,0.18,0.17,29.0
13,hand,OV,0.21,0.14,26.0
13,hand,OV,0.3,0.04999998,17.0
13,hand,OV,0.24,0.11,23.0
13,hand,OV,0.33,0.01999998,16.0
13,hand,OV,0.18,0.17,29.0
13,hand,OV,0.15,0.2,32.0
13,hand,OT,0.33,0.01999998,14.0
13,hand,OT,0.24,0.11,24.0
13,hand,OT,0.21,0.14,25.0
13,hand,OT,0.12,0.23,35.0
13,hand,OT,0.18,0.17,30.0
13,hand,OT,0.21,0.14,25.0
13,hand,OT,0.3,0.04999998,16.0
13,hand,OT,0.12,0.23,33.0
13,hand,OT,0.27,0.07999998,18.0
13,hand,OT,0.33,0.01999998,12.0
13,hand,SP,0.3,0.04999998,19.0
13,hand,SP,0.24,0.11,26.0
13,hand,SP,0.21,0.14,29.0
13,hand,SP,0.15,0.2,36.0
13,hand,SP,0.33,0.01999998,18.0
13,hand,SP,0.12,0.23,35.0
13,hand,SP,0.27,0.07999998,21.0
13,hand,SP,0.24,0.11,23.0
13,hand,SP,0.33,0.01999998,14.0
13,hand,SP,0.18,0.17,28.0
13,hand,DP,0.33,0.01999998,22.0
13,hand,DP,0.27,0.07999998,25.0
13,hand,DP,0.21,0.14,31.0
13,hand,DP,0.3,0.04999998,22.0
13,hand,DP,0.12,0.23,40.0
13,hand,DP,0.24,0.11,23.0
13,hand,DP,0.12,0.23,36.0
13,hand,DP,0.27,0.07999998,22.0
13,hand,DP,0.3,0.04999998,18.0
13,hand,DP,0.15,0.2,26.0
14,cube,OV,0.3,0.04999998,20.0
14,cube,OV,0.21,0.14,29.0
14,cube,OV,0.15,0.2,34.0
14,cube,OV,0.18,0.17,30.0
14,cube,OV,0.33,0.01999998,13.0
14,cube,OV,0.21,0.14,25.0
14,cube,OV,0.27,0.07999998,17.0
14,cube,OV,0.15,0.2,33.0
14,cube,OV,0.18,0.17,29.0
14,cube,OV,0.3,0.04999998,16.0
14,cube,OT,0.33,0.01999998,18.0
14,cube,OT,0.18,0.17,30.0
14,cube,OT,0.15,0.2,32.0
14,cube,OT,0.21,0.14,26.0
14,cube,OT,0.24,0.11,21.0
14,cube,OT,0.21,0.14,27.0
14,cube,OT,0.15,0.2,32.0
14,cube,OT,0.27,0.07999998,19.0
14,cube,OT,0.12,0.23,35.0
14,cube,OT,0.3,0.04999998,15.0
14,cube,SP,0.15,0.2,37.0
14,cube,SP,0.21,0.14,26.0
14,cube,SP,0.3,0.04999998,16.0
14,cube,SP,0.18,0.17,30.0
14,cube,SP,0.24,0.11,23.0
14,cube,SP,0.15,0.2,31.0
14,cube,SP,0.33,0.01999998,11.0
14,cube,SP,0.27,0.07999998,18.0
14,cube,SP,0.3,0.04999998,15.0
14,cube,SP,0.18,0.17,29.0
14,cube,DP,0.21,0.14,24.0
14,cube,DP,0.18,0.17,26.0
14,cube,DP,0.12,0.23,32.0
14,cube,DP,0.24,0.11,20.0
14,cube,DP,0.33,0.01999998,12.0
14,cube,DP,0.33,0.01999998,9.0
14,cube,DP,0.18,0.17,25.0
14,cube,DP,0.15,0.2,30.0
14,cube,DP,0.27,0.07999998,15.0
14,cube,DP,0.3,0.04999998,13.0
14,hand,OV,0.24,0.11,25.0
14,hand,OV,0.27,0.07999998,23.0
14,hand,OV,0.15,0.2,34.0
14,hand,OV,0.21,0.14,26.0
14,hand,OV,0.3,0.04999998,15.0
14,hand,OV,0.21,0.14,23.0
14,hand,OV,0.27,0.07999998,16.0
14,hand,OV,0.24,0.11,20.0
14,hand,OV,0.12,0.23,32.0
14,hand,OV,0.18,0.17,25.0
14,hand,OT,0.27,0.07999998,20.0
14,hand,OT,0.3,0.04999998,16.0
14,hand,OT,0.15,0.2,31.0
14,hand,OT,0.24,0.11,22.0
14,hand,OT,0.33,0.01999998,13.0
14,hand,OT,0.15,0.2,30.0
14,hand,OT,0.27,0.07999998,18.0
14,hand,OT,0.21,0.14,24.0
14,hand,OT,0.12,0.23,33.0
14,hand,OT,0.24,0.11,20.0
14,hand,SP,0.12,0.23,36.0
14,hand,SP,0.18,0.17,26.0
14,hand,SP,0.21,0.14,23.0
14,hand,SP,0.3,0.04999998,15.0
14,hand,SP,0.15,0.2,30.0
14,hand,SP,0.3,0.04999998,11.0
14,hand,SP,0.18,0.17,23.0
14,hand,SP,0.15,0.2,25.0
14,hand,SP,0.33,0.01999998,6.0
14,hand,SP,0.24,0.11,16.0
14,hand,DP,0.12,0.23,35.0
14,hand,DP,0.15,0.2,30.0
14,hand,DP,0.3,0.04999998,16.0
14,hand,DP,0.27,0.07999998,16.0
14,hand,DP,0.24,0.11,23.0
14,hand,DP,0.21,0.14,22.0
14,hand,DP,0.27,0.07999998,16.0
14,hand,DP,0.24,0.11,20.0
14,hand,DP,0.15,0.2,28.0
14,hand,DP,0.18,0.17,25.0
15,cube,OV,0.33,0.01999998,23.0
15,cube,OV,0.3,0.04999998,25.0
15,cube,OV,0.21,0.14,33.0
15,cube,OV,0.15,0.2,39.0
15,cube,OV,0.12,0.23,41.0
15,cube,OV,0.3,0.04999998,25.0
15,cube,OV,0.18,0.17,35.0
15,cube,OV,0.27,0.07999998,27.0
15,cube,OV,0.21,0.14,33.0
15,cube,OV,0.33,0.01999998,22.0
15,cube,OT,0.3,0.04999998,23.0
15,cube,OT,0.21,0.14,30.0
15,cube,OT,0.27,0.07999998,25.0
15,cube,OT,0.24,0.11,28.0
15,cube,OT,0.33,0.01999998,20.0
15,cube,OT,0.21,0.14,32.0
15,cube,OT,0.33,0.01999998,20.0
15,cube,OT,0.24,0.11,29.0
15,cube,OT,0.18,0.17,35.0
15,cube,OT,0.15,0.2,36.0
15,cube,SP,0.21,0.14,34.0
15,cube,SP,0.27,0.07999998,27.0
15,cube,SP,0.12,0.23,40.0
15,cube,SP,0.33,0.01999998,21.0
15,cube,SP,0.3,0.04999998,23.0
15,cube,SP,0.33,0.01999998,19.0
15,cube,SP,0.21,0.14,31.0
15,cube,SP,0.18,0.17,33.0
15,cube,SP,0.15,0.2,36.0
15,cube,SP,0.12,0.23,38.0
15,cube,DP,0.15,0.2,41.0
15,cube,DP,0.12,0.23,43.0
15,cube,DP,0.18,0.17,36.0
15,cube,DP,0.33,0.01999998,22.0
15,cube,DP,0.3,0.04999998,23.0
15,cube,DP,0.24,0.11,29.0
15,cube,DP,0.33,0.01999998,21.0
15,cube,DP,0.18,0.17,35.0
15,cube,DP,0.21,0.14,34.0
15,cube,DP,0.12,0.23,41.0
15,hand,OV,0.12,0.23,39.0
15,hand,OV,0.21,0.14,30.0
15,hand,OV,0.18,0.17,32.0
15,hand,OV,0.24,0.11,28.0
15,hand,OV,0.3,0.04999998,19.0
15,hand,OV,0.27,0.07999998,20.0
15,hand,OV,0.18,0.17,28.0
15,hand,OV,0.21,0.14,25.0
15,hand,OV,0.15,0.2,32.0
15,hand,OV,0.3,0.04999998,18.0
15,hand,OT,0.12,0.23,36.0
15,hand,OT,0.3,0.04999998,18.0
15,hand,OT,0.15,0.2,34.0
15,hand,OT,0.21,0.14,28.0
15,hand,OT,0.24,0.11,24.0
15,hand,OT,0.33,0.01999998,16.0
15,hand,OT,0.18,0.17,31.0
15,hand,OT,0.24,0.11,25.0
15,hand,OT,0.15,0.2,34.0
15,hand,OT,0.21,0.14,27.0
15,hand,SP,0.27,0.07999998,25.0
15,hand,SP,0.18,0.17,31.0
15,hand,SP,0.21,0.14,29.0
15,hand,SP,0.15,0.2,34.0
15,hand,SP,0.12,0.23,35.0
15,hand,SP,0.21,0.14,25.0
15,hand,SP,0.18,0.17,26.0
15,hand,SP,0.3,0.04999998,15.0
15,hand,SP,0.24,0.11,20.0
15,hand,SP,0.15,0.2,29.0
15,hand,DP,0.12,0.23,39.0
15,hand,DP,0.27,0.07999998,24.0
15,hand,DP,0.15,0.2,35.0
15,hand,DP,0.3,0.04999998,22.0
15,hand,DP,0.18,0.17,32.0
15,hand,DP,0.15,0.2,31.0
15,hand,DP,0.12,0.23,32.0
15,hand,DP,0.27,0.07999998,19.0
15,hand,DP,0.3,0.04999998,16.0
15,hand,DP,0.21,0.14,26.0
16,cube,OV,0.3,0.04999998,22.0
16,cube,OV,0.27,0.07999998,23.0
16,cube,OV,0.12,0.23,38.0
16,cube,OV,0.21,0.14,29.0
16,cube,OV,0.18,0.17,32.0
16,cube,OV,0.27,0.07999998,27.0
16,cube,OV,0.21,0.14,31.0
16,cube,OV,0.15,0.2,40.0
16,cube,OV,0.24,0.11,30.0
16,cube,OV,0.33,0.01999998,22.0
16,cube,OT,0.18,0.17,38.0
16,cube,OT,0.33,0.01999998,20.0
16,cube,OT,0.3,0.04999998,23.0
16,cube,OT,0.27,0.07999998,25.0
16,cube,OT,0.21,0.14,32.0
16,cube,OT,0.33,0.01999998,20.0
16,cube,OT,0.15,0.2,37.0
16,cube,OT,0.3,0.04999998,25.0
16,cube,OT,0.18,0.17,36.0
16,cube,OT,0.12,0.23,40.0
16,cube,SP,0.12,0.23,38.0
16,cube,SP,0.18,0.17,34.0
16,cube,SP,0.3,0.04999998,23.0
16,cube,SP,0.27,0.07999998,25.0
16,cube,SP,0.15,0.2,36.0
16,cube,SP,0.18,0.17,34.0
16,cube,SP,0.3,0.04999998,23.0
16,cube,SP,0.15,0.2,40.0
16,cube,SP,0.33,0.01999998,22.0
16,cube,SP,0.27,0.07999998,28.0
16,cube,DP,0.12,0.23,40.0
16,cube,DP,0.27,0.07999998,27.0
16,cube,DP,0.21,0.14,32.0
16,cube,DP,0.18,0.17,34.0
16,cube,DP,0.3,0.04999998,25.0
16,cube,DP,0.3,0.04999998,24.0
16,cube,DP,0.24,0.11,30.0
16,cube,DP,0.33,0.01999998,21.0
16,cube,DP,0.18,0.17,37.0
16,cube,DP,0.15,0.2,39.0
16,hand,OV,0.3,0.04999998,22.0
16,hand,OV,0.27,0.07999998,26.0
16,hand,OV,0.15,0.2,37.0
16,hand,OV,0.21,0.14,31.0
16,hand,OV,0.12,0.23,40.0
16,hand,OV,0.33,0.01999998,21.0
16,hand,OV,0.15,0.2,37.0
16,hand,OV,0.27,0.07999998,26.0
16,hand,OV,0.12,0.23,40.0
16,hand,OV,0.3,0.04999998,23.0
16,hand,OT,0.33,0.01999998,19.0
16,hand,OT,0.15,0.2,38.0
16,hand,OT,0.12,0.23,41.0
16,hand,OT,0.18,0.17,36.0
16,hand,OT,0.3,0.04999998,24.0
16,hand,OT,0.18,0.17,36.0
16,hand,OT,0.12,0.23,40.0
16,hand,OT,0.27,0.07999998,26.0
16,hand,OT,0.33,0.01999998,20.0
16,hand,OT,0.15,0.2,38.0
16,hand,SP,0.21,0.14,32.0
16,hand,SP,0.3,0.04999998,26.0
16,hand,SP,0.12,0.23,40.0
16,hand,SP,0.24,0.11,30.0
16,hand,SP,0.27,0.07999998,27.0
16,hand,SP,0.15,0.2,37.0
16,hand,SP,0.24,0.11,28.0
16,hand,SP,0.21,0.14,32.0
16,hand,SP,0.3,0.04999998,23.0
16,hand,SP,0.12,0.23,41.0
16,hand,DP,0.33,0.01999998,21.0
16,hand,DP,0.18,0.17,36.0
16,hand,DP,0.15,0.2,38.0
16,hand,DP,0.27,0.07999998,26.0
16,hand,DP,0.12,0.23,41.0
16,hand,DP,0.24,0.11,29.0
16,hand,DP,0.18,0.17,35.0
16,hand,DP,0.21,0.14,32.0
16,hand,DP,0.3,0.04999998,22.0
16,hand,DP,0.33,0.01999998,19.0
17,cube,OV,0.24,0.11,33.0
17,cube,OV,0.33,0.01999998,22.0
17,cube,OV,0.15,0.2,39.0
17,cube,OV,0.3,0.04999998,24.0
17,cube,OV,0.21,0.14,34.0
17,cube,OV,0.33,0.01999998,24.0
17,cube,OV,0.18,0.17,37.0
17,cube,OV,0.27,0.07999998,31.0
17,cube,OV,0.12,0.23,45.0
17,cube,OV,0.24,0.11,32.0
17,cube,OT,0.18,0.17,35.0
17,cube,OT,0.24,0.11,29.0
17,cube,OT,0.15,0.2,39.0
17,cube,OT,0.21,0.14,32.0
17,cube,OT,0.12,0.23,42.0
17,cube,OT,0.3,0.04999998,24.0
17,cube,OT,0.12,0.23,43.0
17,cube,OT,0.24,0.11,30.0
17,cube,OT,0.15,0.2,40.0
17,cube,OT,0.27,0.07999998,31.0
17,cube,SP,0.21,0.14,35.0
17,cube,SP,0.18,0.17,37.0
17,cube,SP,0.15,0.2,40.0
17,cube,SP,0.12,0.23,42.0
17,cube,SP,0.24,0.11,29.0
17,cube,SP,0.15,0.2,39.0
17,cube,SP,0.27,0.07999998,25.0
17,cube,SP,0.18,0.17,33.0
17,cube,SP,0.24,0.11,27.0
17,cube,SP,0.33,0.01999998,18.0
17,cube,DP,0.3,0.04999998,23.0
17,cube,DP,0.18,0.17,36.0
17,cube,DP,0.33,0.01999998,20.0
17,cube,DP,0.24,0.11,28.0
17,cube,DP,0.12,0.23,39.0
17,cube,DP,0.12,0.23,41.0
17,cube,DP,0.18,0.17,33.0
17,cube,DP,0.33,0.01999998,18.0
17,cube,DP,0.3,0.04999998,22.0
17,cube,DP,0.24,0.11,28.0
17,hand,OV,0.21,0.14,34.0
17,hand,OV,0.12,0.23,35.0
17,hand,OV,0.18,0.17,37.0
17,hand,OV,0.33,0.01999998,22.0
17,hand,OV,0.15,0.2,41.0
17,hand,OV,0.33,0.01999998,25.0
17,hand,OV,0.27,0.07999998,31.0
17,hand,OV,0.12,0.23,46.0
17,hand,OV,0.3,0.04999998,27.0
17,hand,OV,0.18,0.17,39.0
17,hand,OT,0.27,0.07999998,29.0
17,hand,OT,0.3,0.04999998,25.0
17,hand,OT,0.33,0.01999998,22.0
17,hand,OT,0.21,0.14,35.0
17,hand,OT,0.24,0.11,32.0
17,hand,OT,0.24,0.11,30.0
17,hand,OT,0.15,0.2,40.0
17,hand,OT,0.27,0.07999998,27.0
17,hand,OT,0.3,0.04999998,24.0
17,hand,OT,0.12,0.23,45.0
