StimulationType RulerPosition Distance Answer
0 0,35 0 0
OT 0,3 0,04999998 26
OT 0,33 0,01999998 23
OT 0,18 0,17 40
OT 0,15 0,2 44
OT 0,27 0,07999998 34
OT 0,21 0,14 40
OT 0,18 0,17 43
OT 0,15 0,2 45
OT 0,33 0,01999998 24
OT 0,27 0,07999998 28
OV 0,15 0,2 41
OV 0,3 0,04999998 24
OV 0,27 0,07999998 27
OV 0,18 0,17 36
OV 0,24 0,11 31
OV 0,21 0,14 36
OV 0,18 0,17 38
OV 0,12 0,23 47
OV 0,15 0,2 40
OV 0,3 0,04999998 25
SQ 0,27 0,07999998 28
SQ 0,21 0,14 34
SQ 0,33 0,01999998 21
SQ 0,24 0,11 30
SQ 0,12 0,23 44
SQ 0,33 0,01999998 21
SQ 0,24 0,11 29
SQ 0,12 0,23 42
SQ 0,18 0,17 34
SQ 0,27 0,07999998 24
DQ 0,3 0,04999998 25
DQ 0,12 0,23 44
DQ 0,15 0,2 43
DQ 0,33 0,01999998 22
DQ 0,27 0,07999998 27
DQ 0,3 0,04999998 27
DQ 0,33 0,01999998 24
DQ 0,18 0,17 39
DQ 0,27 0,07999998 30
DQ 0,15 0,2 43
