StimulationType RulerPosition Distance Answer
0 0,35 0 0
OT 0,15 0,2 33
OT 0,3 0,04999998 20
OT 0,12 0,23 36
OT 0,18 0,17 31
OT 0,27 0,07999998 22
OT 0,24 0,11 
OT 0,27 0,07999998 18
OT 0,18 0,17 27
OT 0,12 0,23 33
OT 0,15 0,2 30
DQ 0,18 0,17 29
DQ 0,12 0,23 35
DQ 0,21 0,14 26
DQ 0,33 0,01999998 14
DQ 0,27 0,07999998 22
DQ 0,12 0,23 32
DQ 0,24 0,11 20
DQ 0,33 0,01999998 15
DQ 0,18 0,17 28
DQ 0,15 0,2 30
SQ 0,24 0,11 22
SQ 0,27 0,07999998 21
SQ 0,21 0,14 26
SQ 0,33 0,01999998 15
SQ 0,12 0,23 36
SQ 0,3 0,04999998 13
SQ 0,12 0,23 32
SQ 0,33 0,01999998 9
SQ 0,18 0,17 29
SQ 0,21 0,14 24
OV 0,15 0,2 33
OV 0,18 0,17 31
OV 0,12 0,23 35
OV 0,27 0,07999998 20
OV 0,24 0,11 25
OV 0,24 0,11 19
OV 0,33 0,01999998 12
OV 0,21 0,14 24
OV 0,18 0,17 27
OV 0,15 0,2 31
