StimulationType RulerPosition Distance Answer
0 0,35 0 0
DQ 0,24 0,11 30
DQ 0,33 0,01999998 21
DQ 0,18 0,17 36
DQ 0,12 0,23 41
DQ 0,27 0,07999998 26
DQ 0,12 0,23 38
DQ 0,15 0,2 34
DQ 0,27 0,07999998 25
DQ 0,3 0,04999998 22
DQ 0,33 0,01999998 21
OT 0,12 0,23 45
OT 0,33 0,01999998 23
OT 0,3 0,04999998 25
OT 0,27 0,07999998 28
OT 0,21 0,14 35
OT 0,33 0,01999998 22
OT 0,18 0,17 37
OT 0,3 0,04999998 24
OT 0,24 0,11 32
OT 0,27 0,07999998 28
OV 0,33 0,01999998 19
OV 0,12 0,23 40
OV 0,15 0,2 39
OV 0,18 0,17 37
OV 0,27 0,07999998 26
OV 0,15 0,2 37
OV 0,21 0,14 30
OV 0,3 0,04999998 24
OV 0,27 0,07999998 27
OV 0,24 0,11 32
SQ 0,24 0,11 30
SQ 0,12 0,23 41
SQ 0,18 0,17 36
SQ 0,33 0,01999998 22
SQ 0,27 0,07999998 27
SQ 0,12 0,23 41
SQ 0,33 0,01999998 20
SQ 0,15 0,2 38
SQ 0,18 0,17 37
SQ 0,24 0,11 30
