StimulationType RulerPosition Distance Answer
0 0,35 0
OV 0,27 0,07999998 24
OV 0,3 0,04999998 21
OV 0,18 0,17 30
OV 0,15 0,2 32
OV 0,33 0,01999998 15
OV 0,27 0,07999998 14
OV 0,33 0,01999998 10
OV 0,18 0,17 22
OV 0,21 0,14 20
OV 0,24 0,11 18
DQ 0,18 0,17 26
DQ 0,24 0,11 23
DQ 0,27 0,07999998 20
DQ 0,12 0,23 30
DQ 0,33 0,01999998 12
DQ 0,12 0,23 27
DQ 0,33 0,01999998 7
DQ 0,15 0,2 25
DQ 0,18 0,17 23
DQ 0,21 0,14 21
OT 0,21 0,14 22
OT 0,24 0,11 19
OT 0,18 0,17 25
OT 0,33 0,01999998 12
OT 0,3 0,04999998 15
OT 0,24 0,11 18
OT 0,12 0,23 29
OT 0,15 0,2 26
OT 0,21 0,14 22
OT 0,18 0,17 24
SQ 0,15 0,2 27
SQ 0,27 0,07999998 17
SQ 0,3 0,04999998 14
SQ 0,33 0,01999998 11
SQ 0,12 0,23 32
SQ 0,3 0,04999998 14
SQ 0,21 0,14 27
SQ 0,18 0,17 24
SQ 0,12 0,23 30
SQ 0,24 0,11 20
