StimulationType RulerPosition Distance Answer
0 0,35 0 0
OT 0,21 0,14 21
OT 0,18 0,17 27
OT 0,24 0,11 19
OT 0,27 0,07999998 20
OT 0,33 0,01999998 14
OT 0,21 0,14 21
OT 0,24 0,11 17
OT 0,27 0,07999998 16
OT 0,15 0,2 28
OT 0,12 0,23 32
SQ 0,27 0,07999998 17
SQ 0,18 0,17 27
SQ 0,3 0,04999998 13
SQ 0,15 0,2 28
SQ 0,24 0,11 19
SQ 0,27 0,07999998 18
SQ 0,21 0,14 25
SQ 0,12 0,23 33
SQ 0,24 0,11 20
SQ 0,18 0,17 28
OV 0,3 0,04999998 15
OV 0,12 0,23 36
OV 0,21 0,14 23
OV 0,33 0,01999998 11
OV 0,27 0,07999998 18
OV 0,27 0,07999998 17
OV 0,33 0,01999998 11
OV 0,12 0,23 32
OV 0,24 0,11 19
OV 0,21 0,14 24
DQ 0,15 0,2 30
DQ 0,24 0,11 18
DQ 0,12 0,23 29
DQ 0,33 0,01999998 9
DQ 0,3 0,04999998 13
DQ 0,27 0,07999998 15
DQ 0,21 0,14 19
DQ 0,33 0,01999998 9
DQ 0,18 0,17 24
DQ 0,15 0,2 27
