StimulationType RulerPosition Distance Answer
0 0,35 0 0
OV 0,3 0,04999998 9
OV 0,27 0,07999998 13
OV 0,12 0,23 29
OV 0,24 0,11 15
OV 0,21 0,14 20
OV 0,33 0,01999998 10
OV 0,24 0,11 19
OV 0,15 0,2 33
OV 0,18 0,17 25
OV 0,3 0,04999998 14
OT 0,24 0,11 22
OT 0,15 0,2 34
OT 0,21 0,14 26
OT 0,33 0,01999998 18
OT 0,18 0,17 31
OT 0,12 0,23 23
OT 0,15 0,2 24
OT 0,24 0,11 14
OT 0,27 0,07999998 12
OT 0,33 0,01999998 7
SQ 0,3 0,04999998 12
SQ 0,18 0,17 27
SQ 0,15 0,2 28
SQ 0,33 0,01999998 12
SQ 0,12 0,23 31
SQ 0,3 0,04999998 7
SQ 0,27 0,07999998 13
SQ 0,21 0,14 17
SQ 0,24 0,11 19
SQ 0,15 0,2 30
DQ 0,27 0,07999998 15
DQ 0,24 0,11 19
DQ 0,18 0,17 27
DQ 0,3 0,04999998 14
DQ 0,12 0,23 34
DQ 0,24 0,11 17
DQ 0,3 0,04999998 11
DQ 0,15 0,2 27
DQ 0,21 0,14 24
DQ 0,33 0,01999998 13
