StimulationType RulerPosition Distance Answer
0 0,35 0
DQ 0,21 0,14 36
DQ 0,18 0,17 41
DQ 0,33 0,01999998 26
DQ 0,27 0,07999998 32
DQ 0,24 0,11 34
DQ 0,27 0,07999998 33
DQ 0,21 0,14 38
DQ 0,15 0,2 43
DQ 0,18 0,17 39
DQ 0,3 0,04999998 29
SQ 0,24 0,11 32
SQ 0,3 0,04999998 26
SQ 0,15 0,2 41
SQ 0,18 0,17 38
SQ 0,12 0,23 44
SQ 0,33 0,01999998 25
SQ 0,15 0,2 43
SQ 0,18 0,17 40
SQ 0,12 0,23 46
SQ 0,27 0,07999998 31
OT 0,24 0,11 33
OT 0,3 0,04999998 26
OT 0,18 0,17 39
OT 0,15 0,2 42
OT 0,33 0,01999998 23
OT 0,12 0,23 45
OT 0,24 0,11 33
OT 0,15 0,2 42
OT 0,18 0,17 39
OT 0,33 0,01999998 24
OV 0,15 0,2 45
OV 0,33 0,01999998 27
OV 0,27 0,07999998 33
OV 0,24 0,11 36
OV 0,3 0,04999998 30
OV 0,12 0,23 47
OV 0,15 0,2 44
OV 0,18 0,17 41
OV 0,3 0,04999998 29
OV 0,27 0,07999998 32
