StimulationType RulerPosition Distance Answer
0 0,35 0 0
SQ 0,3 0,04999998 19
SQ 0,24 0,11 26
SQ 0,21 0,14 29
SQ 0,15 0,2 36
SQ 0,33 0,01999998 18
SQ 0,12 0,23 35
SQ 0,27 0,07999998 21
SQ 0,24 0,11 23
SQ 0,33 0,01999998 14
SQ 0,18 0,17 28
DQ 0,33 0,01999998 22
DQ 0,27 0,07999998 25
DQ 0,21 0,14 31
DQ 0,3 0,04999998 22
DQ 0,12 0,23 40
DQ 0,24 0,11 23
DQ 0,12 0,23 36
DQ 0,27 0,07999998 22
DQ 0,3 0,04999998 18
DQ 0,15 0,2 26
OV 0,33 0,01999998 18
OV 0,3 0,04999998 19
OV 0,15 0,2 33
OV 0,18 0,17 29
OV 0,21 0,14 26
OV 0,3 0,04999998 17
OV 0,24 0,11 23
OV 0,33 0,01999998 16
OV 0,18 0,17 29
OV 0,15 0,2 32
OT 0,33 0,01999998 14
OT 0,24 0,11 24
OT 0,21 0,14 25
OT 0,12 0,23 35
OT 0,18 0,17 30
OT 0,21 0,14 25
OT 0,3 0,04999998 16
OT 0,12 0,23 33
OT 0,27 0,07999998 18
OT 0,33 0,01999998 12
