StimulationType RulerPosition Distance Answer
0 0,35 0 0
OV 0,21 0,14 31
OV 0,27 0,07999998 27
OV 0,33 0,01999998 20
OV 0,15 0,2 39
OV 0,24 0,11 29
OV 0,18 0,17 33
OV 0,21 0,14 31
OV 0,33 0,01999998 19
OV 0,24 0,11 29
OV 0,3 0,04999998 20
SQ 0,3 0,04999998 21
SQ 0,18 0,17 33
SQ 0,24 0,11 27
SQ 0,12 0,23 39
SQ 0,27 0,07999998 24
SQ 0,33 0,01999998 17
SQ 0,3 0,04999998 20
SQ 0,18 0,17 32
SQ 0,27 0,07999998 23
SQ 0,24 0,11 26
OT 0,18 0,17 31
OT 0,27 0,07999998 23
OT 0,21 0,14 29
OT 0,15 0,2 34
OT 0,12 0,23 38
OT 0,3 0,04999998 20
OT 0,21 0,14 28
OT 0,12 0,23 38
OT 0,24 0,11 24
OT 0,27 0,07999998 21
DQ 0,24 0,11 24
DQ 0,15 0,2 34
DQ 0,18 0,17 31
DQ 0,12 0,23 37
DQ 0,33 0,01999998 15
DQ 0,21 0,14 26
DQ 0,27 0,07999998 21
DQ 0,12 0,23 36
DQ 0,15 0,2 33
DQ 0,18 0,17 30
