StimulationType RulerPosition Distance Answer
0 0,35 0
OV 0,33 0,01999998 23
OV 0,3 0,04999998 27
OV 0,24 0,11 33
OV 0,27 0,07999998 30
OV 0,21 0,14 35
OV 0,24 0,11 27
OV 0,18 0,17 34
OV 0,21 0,14 32
OV 0,12 0,23 39
OV 0,33 0,01999998 18
SQ 0,3 0,04999998 30
SQ 0,21 0,14 37
SQ 0,12 0,23 46
SQ 0,33 0,01999998 24
SQ 0,27 0,07999998 30
SQ 0,18 0,17 36
SQ 0,21 0,14 33
SQ 0,33 0,01999998 24
SQ 0,12 0,23 44
SQ 0,24 0,11 37
DQ 0,24 0,11 34
DQ 0,27 0,07999998 31
DQ 0,33 0,01999998 24
DQ 0,18 0,17 38
DQ 0,21 0,14 35
DQ 0,18 0,17 34
DQ 0,12 0,23 39
DQ 0,3 0,04999998 22
DQ 0,27 0,07999998 27
DQ 0,24 0,11 29
OT 0,24 0,11 29
OT 0,21 0,14 34
OT 0,3 0,04999998 25
OT 0,33 0,01999998 22
OT 0,12 0,23 42
OT 0,3 0,04999998 23
OT 0,27 0,07999998 28
OT 0,24 0,11 31
OT 0,21 0,14 35
OT 0,15 0,2 41
