StimulationType RulerPosition Distance Answer
0 0,35 0 0
SQ 0,24 0,11 45
SQ 0,33 0,01999998 33
SQ 0,12 0,23 50
SQ 0,15 0,2 43
SQ 0,21 0,14 38
SQ 0,15 0,2 35
SQ 0,18 0,17 37
SQ 0,21 0,14 35
SQ 0,3 0,04999998 27
SQ 0,24 0,11 31
OV 0,15 0,2 44
OV 0,21 0,14 38
OV 0,33 0,01999998 29
OV 0,3 0,04999998 31
OV 0,24 0,11 37
OV 0,21 0,14 37
OV 0,18 0,17 40
OV 0,27 0,07999998 32
OV 0,33 0,01999998 26
OV 0,15 0,2 44
DQ 0,3 0,04999998 31
DQ 0,12 0,23 46
DQ 0,21 0,14 38
DQ 0,15 0,2 43
DQ 0,24 0,11 35
DQ 0,18 0,17 36
DQ 0,24 0,11 32
DQ 0,33 0,01999998 23
DQ 0,27 0,07999998 29
DQ 0,12 0,23 44
OT 0,27 0,07999998 32
OT 0,24 0,11 36
OT 0,21 0,14 38
OT 0,33 0,01999998 26
OT 0,3 0,04999998 29
OT 0,3 0,04999998 27
OT 0,15 0,2 40
OT 0,18 0,17 37
OT 0,12 0,23 42
OT 0,24 0,11 32
