StimulationType RulerPosition Distance Answer
0 0,35 0 0
DQ 0,12 0,23 35
DQ 0,15 0,2 30
DQ 0,3 0,04999998 16
DQ 0,27 0,07999998 16
DQ 0,24 0,11 23
DQ 0,21 0,14 22
DQ 0,27 0,07999998 16
DQ 0,24 0,11 20
DQ 0,15 0,2 28
DQ 0,18 0,17 25
OT 0,27 0,07999998 20
OT 0,3 0,04999998 16
OT 0,15 0,2 31
OT 0,24 0,11 22
OT 0,33 0,01999998 13
OT 0,15 0,2 30
OT 0,27 0,07999998 18
OT 0,21 0,14 24
OT 0,12 0,23 33
OT 0,24 0,11 20
OV 0,24 0,11 25
OV 0,27 0,07999998 23
OV 0,15 0,2 34
OV 0,21 0,14 26
OV 0,3 0,04999998 15
OV 0,21 0,14 23
OV 0,27 0,07999998 16
OV 0,24 0,11 20
OV 0,12 0,23 32
OV 0,18 0,17 25
SQ 0,12 0,23 36
SQ 0,18 0,17 26
SQ 0,21 0,14 23
SQ 0,3 0,04999998 15
SQ 0,15 0,2 30
SQ 0,3 0,04999998 11
SQ 0,18 0,17 23
SQ 0,15 0,2 25
SQ 0,33 0,01999998 6
SQ 0,24 0,11 16
