StimulationType RulerPosition Distance Answer
0 0,35 0 0
OT 0,12 0,23 36
OT 0,3 0,04999998 18
OT 0,15 0,2 34
OT 0,21 0,14 28
OT 0,24 0,11 24
OT 0,33 0,01999998 16
OT 0,18 0,17 31
OT 0,24 0,11 25
OT 0,15 0,2 34
OT 0,21 0,14 27
SQ 0,27 0,07999998 25
SQ 0,18 0,17 31
SQ 0,21 0,14 29
SQ 0,15 0,2 34
SQ 0,12 0,23 35
SQ 0,21 0,14 25
SQ 0,18 0,17 26
SQ 0,3 0,04999998 15
SQ 0,24 0,11 20
SQ 0,15 0,2 29
OV 0,12 0,23 39
OV 0,21 0,14 30
OV 0,18 0,17 32
OV 0,24 0,11 28
OV 0,3 0,04999998 19
OV 0,27 0,07999998 20
OV 0,18 0,17 28
OV 0,21 0,14 25
OV 0,15 0,2 32
OV 0,3 0,04999998 18
DQ 0,12 0,23 39
DQ 0,27 0,07999998 24
DQ 0,15 0,2 35
DQ 0,3 0,04999998 22
DQ 0,18 0,17 32
DQ 0,15 0,2 31
DQ 0,12 0,23 32
DQ 0,27 0,07999998 19
DQ 0,3 0,04999998 16
DQ 0,21 0,14 26
