StimulationType RulerPosition Distance Answer
0 0,35 0
SQ 0,18 0,17 27
SQ 0,3 0,04999998 16
SQ 0,12 0,23 33
SQ 0,33 0,01999998 12
SQ 0,24 0,11 22
SQ 0,24 0,11 16
SQ 0,27 0,07999998 15
SQ 0,18 0,17 23
SQ 0,12 0,23 32
SQ 0,33 0,01999998 13
OT 0,12 0,23 36
OT 0,3 0,04999998 18
OT 0,18 0,17 32
OT 0,33 0,01999998 16
OT 0,24 0,11 25
OT 0,12 0,23 30
OT 0,24 0,11 20
OT 0,27 0,07999998 17
OT 0,33 0,01999998 12
OT 0,3 0,04999998 15
OV 0,15 0,2 34
OV 0,24 0,11 26
OV 0,27 0,07999998 22
OV 0,33 0,01999998 16
OV 0,12 0,23 37
OV 0,12 0,23 31
OV 0,33 0,01999998 10
OV 0,15 0,2 28
OV 0,3 0,04999998 14
OV 0,18 0,17 27
DQ 0,27 0,07999998 17
DQ 0,21 0,14 23
DQ 0,24 0,11 20
DQ 0,3 0,04999998 18
DQ 0,18 0,17 26
DQ 0,27 0,07999998 13
DQ 0,3 0,04999998 10
DQ 0,24 0,11 17
DQ 0,15 0,2 26
DQ 0,33 0,01999998 9
