StimulationType RulerPosition Distance Answer
0 0,35 0 0
OT 0,27 0,07999998 29
OT 0,3 0,04999998 25
OT 0,33 0,01999998 22
OT 0,21 0,14 35
OT 0,24 0,11 32
OT 0,24 0,11 30
OT 0,15 0,2 40
OT 0,27 0,07999998 27
OT 0,3 0,04999998 24
OT 0,12 0,23 45
OV 0,21 0,14 34
OV 0,12 0,23 35
OV 0,18 0,17 37
OV 0,33 0,01999998 22
OV 0,15 0,2 41
OV 0,33 0,01999998 25
OV 0,27 0,07999998 31
OV 0,12 0,23 46
OV 0,3 0,04999998 27
OV 0,18 0,17 39
SQ 0,15 0,2 42
SQ 0,24 0,11 33
SQ 0,27 0,07999998 31
SQ 0,18 0,17 39
SQ 0,21 0,14 36
SQ 0,33 0,01999998 23
SQ 0,15 0,2 42
SQ 0,21 0,14 36
SQ 0,12 0,23 46
SQ 0,3 0,04999998 26
DQ 0,27 0,07999998 31
DQ 0,12 0,23 46
DQ 0,24 0,11 33
DQ 0,3 0,04999998 26
DQ 0,21 0,14 35
DQ 0,12 0,23 44
DQ 0,15 0,2 40
DQ 0,24 0,11 31
DQ 0,3 0,04999998 24
DQ 0,21 0,14 34
