StimulationType RulerPosition Distance Answer
0 0,35 0 0
DQ 0,21 0,14 24
DQ 0,18 0,17 26
DQ 0,12 0,23 32
DQ 0,24 0,11 20
DQ 0,33 0,01999998 12
DQ 0,33 0,01999998 9
DQ 0,18 0,17 25
DQ 0,15 0,2 30
DQ 0,27 0,07999998 15
DQ 0,3 0,04999998 13
OV 0,3 0,04999998 20
OV 0,21 0,14 29
OV 0,15 0,2 34
OV 0,18 0,17 30
OV 0,33 0,01999998 13
OV 0,21 0,14 25
OV 0,27 0,07999998 17
OV 0,15 0,2 33
OV 0,18 0,17 29
OV 0,3 0,04999998 16
OT 0,33 0,01999998 18
OT 0,18 0,17 30
OT 0,15 0,2 32
OT 0,21 0,14 26
OT 0,24 0,11 21
OT 0,21 0,14 27
OT 0,15 0,2 32
OT 0,27 0,07999998 19
OT 0,12 0,23 35
OT 0,3 0,04999998 15
SQ 0,15 0,2 37
SQ 0,21 0,14 26
SQ 0,3 0,04999998 16
SQ 0,18 0,17 30
SQ 0,24 0,11 23
SQ 0,15 0,2 31
SQ 0,33 0,01999998 11
SQ 0,27 0,07999998 18
SQ 0,3 0,04999998 15
SQ 0,18 0,17 29
