StimulationType RulerPosition Distance Answer
0 0,35 0 0
OT 0,21 0,14 22
OT 0,12 0,23 31
OT 0,15 0,2 29
OT 0,33 0,01999998 12
OT 0,27 0,07999998 19
OT 0,18 0,17 28
OT 0,33 0,01999998 13
OT 0,15 0,2 32
OT 0,24 0,11 22
OT 0,27 0,07999998 18
OV 0,15 0,2 31
OV 0,21 0,14 24
OV 0,12 0,23 32
OV 0,3 0,04999998 14
OV 0,18 0,17 26
OV 0,24 0,11 22
OV 0,27 0,07999998 19
OV 0,21 0,14 24
OV 0,12 0,23 32
OV 0,33 0,01999998 10
SQ 0,18 0,17 27
SQ 0,15 0,2 29
SQ 0,12 0,23 33
SQ 0,27 0,07999998 18
SQ 0,24 0,11 22
SQ 0,33 0,01999998 14
SQ 0,27 0,07999998 19
SQ 0,21 0,14 25
SQ 0,3 0,04999998 16
SQ 0,24 0,11 20
DQ 0,18 0,17 29
DQ 0,24 0,11 22
DQ 0,21 0,14 25
DQ 0,12 0,23 34
DQ 0,27 0,07999998 20
DQ 0,3 0,04999998 18
DQ 0,21 0,14 27
DQ 0,27 0,07999998 19
DQ 0,33 0,01999998 14
DQ 0,24 0,11 24
