StimulationType RulerPosition Distance Answer
0 0,35 0 0
OV 0,33 0,01999998 23
OV 0,3 0,04999998 25
OV 0,21 0,14 33
OV 0,15 0,2 39
OV 0,12 0,23 41
OV 0,3 0,04999998 25
OV 0,18 0,17 35
OV 0,27 0,07999998 27
OV 0,21 0,14 33
OV 0,33 0,01999998 22
OT 0,3 0,04999998 23
OT 0,21 0,14 30
OT 0,27 0,07999998 25
OT 0,24 0,11 28
OT 0,33 0,01999998 20
OT 0,21 0,14 32
OT 0,33 0,01999998 20
OT 0,24 0,11 29
OT 0,18 0,17 35
OT 0,15 0,2 36
DQ 0,15 0,2 41
DQ 0,12 0,23 43
DQ 0,18 0,17 36
DQ 0,33 0,01999998 22
DQ 0,3 0,04999998 23
DQ 0,24 0,11 29
DQ 0,33 0,01999998 21
DQ 0,18 0,17 35
DQ 0,21 0,14 34
DQ 0,12 0,23 41
SQ 0,21 0,14 34
SQ 0,27 0,07999998 27
SQ 0,12 0,23 40
SQ 0,33 0,01999998 21
SQ 0,3 0,04999998 23
SQ 0,33 0,01999998 19
SQ 0,21 0,14 31
SQ 0,18 0,17 33
SQ 0,15 0,2 36
SQ 0,12 0,23 38
