StimulationType RulerPosition Distance Answer
0 0,35 0 0
OT 0,12 0,23 35
OT 0,18 0,17 30
OT 0,27 0,07999998 22
OT 0,21 0,14 28
OT 0,33 0,01999998 16
OT 0,12 0,23 33
OT 0,24 0,11 25
OT 0,33 0,01999998 17
OT 0,18 0,17 33
OT 0,3 0,04999998 21
DQ 0,3 0,04999998 20
DQ 0,18 0,17 33
DQ 0,12 0,23 40
DQ 0,21 0,14 32
DQ 0,24 0,11 28
DQ 0,21 0,14 27
DQ 0,27 0,07999998 22
DQ 0,3 0,04999998 20
DQ 0,24 0,11 26
DQ 0,18 0,17 33
SQ 0,24 0,11 25
SQ 0,12 0,23 38
SQ 0,15 0,2 35
SQ 0,18 0,17 32
SQ 0,33 0,01999998 16
SQ 0,27 0,07999998 18
SQ 0,24 0,11 21
SQ 0,15 0,2 29
SQ 0,12 0,23 33
SQ 0,21 0,14 24
OV 0,27 0,07999998 20
OV 0,24 0,11 27
OV 0,18 0,17 26
OV 0,21 0,14 24
OV 0,33 0,01999998 13
OV 0,24 0,11 27
OV 0,27 0,07999998 16
OV 0,18 0,17 26
OV 0,33 0,01999998 11
OV 0,15 0,2 28
