StimulationType RulerPosition Distance Answer
0 0,35 0 0
OV 0,18 0,17 40
OV 0,12 0,23 44
OV 0,33 0,01999998 23
OV 0,3 0,04999998 25
OV 0,27 0,07999998 30
OV 0,3 0,04999998 28
OV 0,27 0,07999998 30
OV 0,12 0,23 43
OV 0,21 0,14 35
OV 0,33 0,01999998 25
SQ 0,15 0,2 40
SQ 0,3 0,04999998 28
SQ 0,18 0,17 38
SQ 0,24 0,11 34
SQ 0,33 0,01999998 25
SQ 0,27 0,07999998 26
SQ 0,18 0,17 35
SQ 0,24 0,11 30
SQ 0,33 0,01999998 20
SQ 0,3 0,04999998 24
DQ 0,33 0,01999998 21
DQ 0,15 0,2 37
DQ 0,12 0,23 43
DQ 0,18 0,17 37
DQ 0,27 0,07999998 28
DQ 0,21 0,14 32
DQ 0,33 0,01999998 21
DQ 0,18 0,17 34
DQ 0,27 0,07999998 27
DQ 0,3 0,04999998 23
OT 0,27 0,07999998 26
OT 0,33 0,01999998 19
OT 0,18 0,17 32
OT 0,24 0,11 27
OT 0,21 0,14 32
OT 0,33 0,01999998 21
OT 0,3 0,04999998 23
OT 0,15 0,2 38
OT 0,24 0,11 31
OT 0,12 0,23 44
