StimulationType RulerPosition Distance Answer
0 0,35 0 0
DQ 0,24 0,11 28
DQ 0,33 0,01999998 20
DQ 0,18 0,17 32
DQ 0,15 0,2 36
DQ 0,27 0,07999998 24
DQ 0,18 0,17 33
DQ 0,33 0,01999998 17
DQ 0,27 0,07999998 24
DQ 0,12 0,23 38
DQ 0,3 0,04999998 21
SQ 0,12 0,23 38
SQ 0,33 0,01999998 17
SQ 0,24 0,11 28
SQ 0,27 0,07999998 24
SQ 0,18 0,17 33
SQ 0,27 0,07999998 24
SQ 0,24 0,11 27
SQ 0,21 0,14 30
SQ 0,15 0,2 36
SQ 0,12 0,23 39
OV 0,27 0,07999998 24
OV 0,15 0,2 37
OV 0,12 0,23 38
OV 0,18 0,17 32
OV 0,24 0,11 26
OV 0,12 0,23 37
OV 0,21 0,14 28
OV 0,33 0,01999998 15
OV 0,3 0,04999998 18
OV 0,18 0,17 31
OT 0,18 0,17 32
OT 0,15 0,2 34
OT 0,12 0,23 37
OT 0,24 0,11 26
OT 0,27 0,07999998 24
OT 0,3 0,04999998 20
OT 0,33 0,01999998 16
OT 0,27 0,07999998 22
OT 0,12 0,23 36
OT 0,15 0,2 35
