StimulationType RulerPosition Distance Answer
0 0,35 0 0
SQ 0,33 0,01999998 15
SQ 0,21 0,14 25
SQ 0,24 0,11 21
SQ 0,18 0,17 27
SQ 0,12 0,23 33
SQ 0,33 0,01999998 12
SQ 0,15 0,2 30
SQ 0,21 0,14 26
SQ 0,18 0,17 27
SQ 0,27 0,07999998 20
OT 0,3 0,04999998 18
OT 0,12 0,23 33
OT 0,24 0,11 21
OT 0,18 0,17 29
OT 0,33 0,01999998 13
OT 0,3 0,04999998 15
OT 0,27 0,07999998 19
OT 0,12 0,23 33
OT 0,18 0,17 30
OT 0,21 0,14 26
DQ 0,3 0,04999998 19
DQ 0,18 0,17 28
DQ 0,27 0,07999998 20
DQ 0,21 0,14 26
DQ 0,12 0,23 33
DQ 0,12 0,23 35
DQ 0,3 0,04999998 17
DQ 0,18 0,17 28
DQ 0,15 0,2 32
DQ 0,33 0,01999998 15
OV 0,27 0,07999998 23
OV 0,24 0,11 25
OV 0,12 0,23 33
OV 0,33 0,01999998 14
OV 0,15 0,2 31
OV 0,24 0,11 22
OV 0,3 0,04999998 17
OV 0,27 0,07999998 20
OV 0,21 0,14 25
OV 0,18 0,17 29
