StimulationType RulerPosition Distance Answer
0 0,35 0 0
OT 0,18 0,17 35
OT 0,24 0,11 29
OT 0,15 0,2 39
OT 0,21 0,14 32
OT 0,12 0,23 42
OT 0,3 0,04999998 24
OT 0,12 0,23 43
OT 0,24 0,11 30
OT 0,15 0,2 40
OT 0,27 0,07999998 31
OV 0,24 0,11 33
OV 0,33 0,01999998 22
OV 0,15 0,2 39
OV 0,3 0,04999998 24
OV 0,21 0,14 34
OV 0,33 0,01999998 24
OV 0,18 0,17 37
OV 0,27 0,07999998 31
OV 0,12 0,23 45
OV 0,24 0,11 32
SQ 0,21 0,14 35
SQ 0,18 0,17 37
SQ 0,15 0,2 40
SQ 0,12 0,23 42
SQ 0,24 0,11 29
SQ 0,15 0,2 39
SQ 0,27 0,07999998 25
SQ 0,18 0,17 33
SQ 0,24 0,11 27
SQ 0,33 0,01999998 18
DQ 0,3 0,04999998 23
DQ 0,18 0,17 36
DQ 0,33 0,01999998 20
DQ 0,24 0,11 28
DQ 0,12 0,23 39
DQ 0,12 0,23 41
DQ 0,18 0,17 33
DQ 0,33 0,01999998 18
DQ 0,3 0,04999998 22
DQ 0,24 0,11 28
