StimulationType RulerPosition Distance Answer
0 0,35 0
SQ 0,18 0,17 29
SQ 0,21 0,14 25
SQ 0,24 0,11 21
SQ 0,12 0,23 31
SQ 0,33 0,01999998 10
SQ 0,3 0,04999998 13
SQ 0,18 0,17 22
SQ 0,24 0,11 17
SQ 0,27 0,07999998 14
SQ 0,12 0,23 28
OT 0,3 0,04999998 13
OT 0,18 0,17 23
OT 0,21 0,14 21
OT 0,12 0,23 29
OT 0,27 0,07999998 15
OT 0,18 0,17 23
OT 0,12 0,23 28
OT 0,24 0,11 17
OT 0,21 0,14 18
OT 0,15 0,2 24
DQ 0,18 0,17 29
DQ 0,33 0,01999998 12
DQ 0,21 0,14 23
DQ 0,15 0,2 29
DQ 0,27 0,07999998 17
DQ 0,27 0,07999998 14
DQ 0,12 0,23 28
DQ 0,18 0,17 21
DQ 0,21 0,14 17
DQ 0,33 0,01999998 6
OV 0,3 0,04999998 18
OV 0,27 0,07999998 20
OV 0,12 0,23 34
OV 0,18 0,17 28
OV 0,21 0,14 24
OV 0,21 0,14 23
OV 0,12 0,23 30
OV 0,24 0,11 17
OV 0,33 0,01999998 8
OV 0,18 0,17 23
