StimulationType RulerPosition Distance Answer
0 0,35 0 
OV 0,24 0,11 35
OV 0,33 0,01999998 27
OV 0,21 0,14 38
OV 0,3 0,04999998 30
OV 0,12 0,23 48
OV 0,3 0,04999998 32
OV 0,33 0,01999998 28
OV 0,27 0,07999998 35
OV 0,15 0,2 45
OV 0,18 0,17 43
OT 0,3 0,04999998 28
OT 0,33 0,01999998 26
OT 0,21 0,14 38
OT 0,24 0,11 36
OT 0,18 0,17 44
OT 0,18 0,17 48
OT 0,12 0,23 49
OT 0,24 0,11 43
OT 0,3 0,04999998 36
OT 0,15 0,2 48
DQ 0,15 0,2 41
DQ 0,33 0,01999998 26
DQ 0,27 0,07999998 32
DQ 0,18 0,17 40
DQ 0,24 0,11 37
DQ 0,33 0,01999998 33
DQ 0,3 0,04999998 37
DQ 0,18 0,17 47
DQ 0,12 0,23 50
DQ 0,24 0,11 41
SQ 0,27 0,07999998 31
SQ 0,33 0,01999998 26
SQ 0,18 0,17 39
SQ 0,24 0,11 36
SQ 0,12 0,23 47
SQ 0,3 0,04999998 26
SQ 0,12 0,23 47
SQ 0,18 0,17 41
SQ 0,27 0,07999998 35
SQ 0,15 0,2 47
