StimulationType RulerPosition Distance Answer
0 0,35 0 0
OT 0,3 0,04999998 32
OT 0,21 0,14 38
OT 0,18 0,17 39
OT 0,27 0,07999998 33
OT 0,15 0,2 43
OT 0,12 0,23 47
OT 0,21 0,14 40
OT 0,33 0,01999998 29
OT 0,3 0,04999998 28
OT 0,27 0,07999998 31
DQ 0,27 0,07999998 32
DQ 0,15 0,2 45
DQ 0,21 0,14 38
DQ 0,3 0,04999998 33
DQ 0,12 0,23 48
DQ 0,18 0,17 36
DQ 0,21 0,14 35
DQ 0,33 0,01999998 25
DQ 0,24 0,11 35
DQ 0,12 0,23 45
SQ 0,33 0,01999998 24
SQ 0,24 0,11 31
SQ 0,15 0,2 41
SQ 0,27 0,07999998 30
SQ 0,3 0,04999998 28
SQ 0,3 0,04999998 21
SQ 0,18 0,17 32
SQ 0,33 0,01999998 19
SQ 0,27 0,07999998 25
SQ 0,15 0,2 37
OV 0,12 0,23 42
OV 0,24 0,11 34
OV 0,33 0,01999998 24
OV 0,15 0,2 41
OV 0,18 0,17 39
OV 0,3 0,04999998 23
OV 0,33 0,01999998 20
OV 0,12 0,23 41
OV 0,27 0,07999998 28
OV 0,24 0,11 30
