StimulationType RulerPosition Distance Answer
0 0,35 0 0
SQ 0,15 0,2 37
SQ 0,24 0,11 28
SQ 0,3 0,04999998 25
SQ 0,21 0,14 35
SQ 0,33 0,01999998 22
SQ 0,3 0,04999998 24
SQ 0,18 0,17 35
SQ 0,33 0,01999998 20
SQ 0,15 0,2 38
SQ 0,12 0,23 42
OV 0,24 0,11 28
OV 0,3 0,04999998 21
OV 0,27 0,07999998 24
OV 0,12 0,23 39
OV 0,18 0,17 32
OV 0,3 0,04999998 22
OV 0,27 0,07999998 25
OV 0,12 0,23 39
OV 0,24 0,11 27
OV 0,15 0,2 35
OT 0,3 0,04999998 23
OT 0,15 0,2 40
OT 0,33 0,01999998 22
OT 0,24 0,11 29
OT 0,27 0,07999998 25
OT 0,18 0,17 34
OT 0,21 0,14 32
OT 0,3 0,04999998 25
OT 0,27 0,07999998 28
OT 0,24 0,11 32
DQ 0,12 0,23 42
DQ 0,18 0,17 36
DQ 0,21 0,14 33
DQ 0,27 0,07999998 27
DQ 0,3 0,04999998 26
DQ 0,27 0,07999998 27
DQ 0,21 0,14 34
DQ 0,33 0,01999998 22
DQ 0,18 0,17 36
DQ 0,24 0,11 31
