StimulationType RulerPosition Distance Answer
0 0,35 0 0
SQ 0,15 0,2 41
SQ 0,3 0,04999998 25
SQ 0,27 0,07999998 27
SQ 0,24 0,11 31
SQ 0,33 0,01999998 23
SQ 0,24 0,11 27
SQ 0,27 0,07999998 23
SQ 0,12 0,23 36
SQ 0,33 0,01999998 18
SQ 0,3 0,04999998 21
OT 0,12 0,23 42
OT 0,18 0,17 36
OT 0,27 0,07999998 29
OT 0,3 0,04999998 25
OT 0,24 0,11 29
OT 0,3 0,04999998 24
OT 0,15 0,2 37
OT 0,24 0,11 30
OT 0,33 0,01999998 25
OT 0,18 0,17 34
OV 0,12 0,23 40
OV 0,33 0,01999998 20
OV 0,24 0,11 28
OV 0,18 0,17 33
OV 0,27 0,07999998 27
OV 0,21 0,14 31
OV 0,15 0,2 36
OV 0,24 0,11 29
OV 0,3 0,04999998 22
OV 0,12 0,23 37
DQ 0,12 0,23 42
DQ 0,33 0,01999998 22
DQ 0,18 0,17 33
DQ 0,27 0,07999998 22
DQ 0,15 0,2 33
DQ 0,3 0,04999998 22
DQ 0,27 0,07999998 26
DQ 0,12 0,23 39
DQ 0,24 0,11 29
DQ 0,33 0,01999998 21
