StimulationType RulerPosition Distance Answer
0 0,35 0 0
SQ 0,21 0,14 32
SQ 0,3 0,04999998 26
SQ 0,12 0,23 40
SQ 0,24 0,11 30
SQ 0,27 0,07999998 27
SQ 0,15 0,2 37
SQ 0,24 0,11 28
SQ 0,21 0,14 32
SQ 0,3 0,04999998 23
SQ 0,12 0,23 41
DQ 0,33 0,01999998 21
DQ 0,18 0,17 36
DQ 0,15 0,2 38
DQ 0,27 0,07999998 26
DQ 0,12 0,23 41
DQ 0,24 0,11 29
DQ 0,18 0,17 35
DQ 0,21 0,14 32
DQ 0,3 0,04999998 22
DQ 0,33 0,01999998 19
OV 0,3 0,04999998 22
OV 0,27 0,07999998 26
OV 0,15 0,2 37
OV 0,21 0,14 31
OV 0,12 0,23 40
OV 0,33 0,01999998 21
OV 0,15 0,2 37
OV 0,27 0,07999998 26
OV 0,12 0,23 40
OV 0,3 0,04999998 23
OT 0,33 0,01999998 19
OT 0,15 0,2 38
OT 0,12 0,23 41
OT 0,18 0,17 36
OT 0,3 0,04999998 24
OT 0,18 0,17 36
OT 0,12 0,23 40
OT 0,27 0,07999998 26
OT 0,33 0,01999998 20
OT 0,15 0,2 38
