StimulationType RulerPosition Distance Answer
0 0,35 0
OT 0,21 0,14 31
OT 0,24 0,11 26
OT 0,15 0,2 35
OT 0,27 0,07999998 21
OT 0,12 0,23 36
OT 0,33 0,01999998 11
OT 0,15 0,2 28
OT 0,12 0,23 31
OT 0,21 0,14 21
OT 0,3 0,04999998 13
DQ 0,12 0,23 35
DQ 0,3 0,04999998 16
DQ 0,27 0,07999998 18
DQ 0,24 0,11 23
DQ 0,18 0,17 29
DQ 0,27 0,07999998 16
DQ 0,24 0,11 20
DQ 0,12 0,23 29
DQ 0,33 0,01999998 11
DQ 0,3 0,04999998 16
SQ 0,15 0,2 28
SQ 0,21 0,14 22
SQ 0,27 0,07999998 17
SQ 0,12 0,23 31
SQ 0,24 0,11 21
SQ 0,15 0,2 24
SQ 0,21 0,14 18
SQ 0,24 0,11 15
SQ 0,27 0,07999998 13
SQ 0,18 0,17 21
OV 0,18 0,17 24
OV 0,24 0,11 19
OV 0,3 0,04999998 13
OV 0,15 0,2 26
OV 0,21 0,14 21
OV 0,15 0,2 26
OV 0,21 0,14 19
OV 0,18 0,17 21
OV 0,3 0,04999998 9
OV 0,33 0,01999998 6
