StimulationType RulerPosition Distance Answer
0 0,35 0 0
DQ 0,12 0,23 36
DQ 0,33 0,01999998 15
DQ 0,18 0,17 28
DQ 0,15 0,2 32
DQ 0,27 0,07999998 21
DQ 0,18 0,17 26
DQ 0,21 0,14 24
DQ 0,33 0,01999998 13
DQ 0,3 0,04999998 17
DQ 0,24 0,11 23
OT 0,21 0,14 24
OT 0,12 0,23 32
OT 0,27 0,07999998 19
OT 0,18 0,17 27
OT 0,33 0,01999998 13
OT 0,3 0,04999998 15
OT 0,24 0,11 20
OT 0,21 0,14 25
OT 0,27 0,07999998 18
OT 0,15 0,2 31
OV 0,3 0,04999998 17
OV 0,24 0,11 23
OV 0,12 0,23 35
OV 0,18 0,17 30
OV 0,15 0,2 32
OV 0,24 0,11 22
OV 0,15 0,2 32
OV 0,33 0,01999998 13
OV 0,3 0,04999998 16
OV 0,12 0,23 35
SQ 0,15 0,2 30
SQ 0,18 0,17 27
SQ 0,33 0,01999998 13
SQ 0,12 0,23 35
SQ 0,3 0,04999998 15
SQ 0,33 0,01999998 14
SQ 0,18 0,17 29
SQ 0,27 0,07999998 20
SQ 0,24 0,11 23
SQ 0,3 0,04999998 17
