StimulationType RulerPosition Distance Answer
0 0,35 0 0
OV 0,24 0,11 23
OV 0,15 0,2 33
OV 0,18 0,17 31
OV 0,21 0,14 28
OV 0,33 0,01999998 17
OV 0,33 0,01999998 13
OV 0,3 0,04999998 20
OV 0,27 0,07999998 23
OV 0,21 0,14 30
OV 0,12 0,23 37
OT 0,18 0,17 36
OT 0,12 0,23 43
OT 0,33 0,01999998 22
OT 0,27 0,07999998 26
OT 0,24 0,11 29
OT 0,12 0,23 35
OT 0,24 0,11 26
OT 0,3 0,04999998 22
OT 0,27 0,07999998 24
OT 0,33 0,01999998 19
DQ 0,21 0,14 36
DQ 0,15 0,2 42
DQ 0,24 0,11 31
DQ 0,18 0,17 37
DQ 0,12 0,23 41
DQ 0,33 0,01999998 16
DQ 0,27 0,07999998 23
DQ 0,24 0,11 26
DQ 0,18 0,17 33
DQ 0,15 0,2 36
SQ 0,15 0,2 40
SQ 0,12 0,23 43
SQ 0,3 0,04999998 25
SQ 0,21 0,14 35
SQ 0,33 0,01999998 21
SQ 0,15 0,2 36
SQ 0,27 0,07999998 26
SQ 0,18 0,17 35
SQ 0,3 0,04999998 25
SQ 0,24 0,11 23
