StimulationType RulerPosition Distance Answer
0 0,35 0 0
SQ 0,15 0,2 39
SQ 0,18 0,17 33
SQ 0,12 0,23 39
SQ 0,27 0,07999998 24
SQ 0,24 0,11 29
SQ 0,3 0,04999998 21
SQ 0,15 0,2 35
SQ 0,24 0,11 27
SQ 0,21 0,14 29
SQ 0,33 0,01999998 17
DQ 0,3 0,04999998 19
DQ 0,33 0,01999998 17
DQ 0,24 0,11 24
DQ 0,21 0,14 27
DQ 0,12 0,23 34
DQ 0,27 0,07999998 20
DQ 0,33 0,01999998 14
DQ 0,24 0,11 23
DQ 0,18 0,17 29
DQ 0,21 0,14 27
OV 0,12 0,23 36
OV 0,3 0,04999998 19
OV 0,21 0,14 28
OV 0,27 0,07999998 23
OV 0,18 0,17 31
OV 0,3 0,04999998 16
OV 0,18 0,17 27
OV 0,12 0,23 31
OV 0,21 0,14 25
OV 0,27 0,07999998 19
OT 0,33 0,01999998 16
OT 0,27 0,07999998 20
OT 0,24 0,11 24
OT 0,18 0,17 29
OT 0,15 0,2 34
OT 0,33 0,01999998 17
OT 0,15 0,2 33
OT 0,12 0,23 36
OT 0,21 0,14 28
OT 0,18 0,17 31
