StimulationType RulerPosition Distance Answer
0 0,35 0 0
SQ 0,21 0,14 36
SQ 0,24 0,11 33
SQ 0,33 0,01999998 26
SQ 0,12 0,23 48
SQ 0,15 0,2 43
SQ 0,15 0,2 40
SQ 0,3 0,04999998 26
SQ 0,27 0,07999998 29
SQ 0,18 0,17 37
SQ 0,21 0,14 36
OV 0,27 0,07999998 28
OV 0,33 0,01999998 24
OV 0,12 0,23 42
OV 0,18 0,17 38
OV 0,3 0,04999998 28
OV 0,27 0,07999998 31
OV 0,18 0,17 37
OV 0,3 0,04999998 26
OV 0,24 0,11 34
OV 0,33 0,01999998 25
OT 0,24 0,11 32
OT 0,27 0,07999998 28
OT 0,18 0,17 37
OT 0,3 0,04999998 26
OT 0,33 0,01999998 24
OT 0,21 0,14 37
OT 0,3 0,04999998 29
OT 0,24 0,11 33
OT 0,33 0,01999998 27
OT 0,12 0,23 44
DQ 0,15 0,2 44
DQ 0,21 0,14 37
DQ 0,3 0,04999998 27
DQ 0,33 0,01999998 25
DQ 0,18 0,17 39
DQ 0,33 0,01999998 24
DQ 0,18 0,17 37
DQ 0,3 0,04999998 27
DQ 0,27 0,07999998 32
DQ 0,12 0,23 42
