StimulationType RulerPosition Distance Answer
0 0,35 0 0
OT 0,18 0,17 38
OT 0,33 0,01999998 20
OT 0,3 0,04999998 23
OT 0,27 0,07999998 25
OT 0,21 0,14 32
OT 0,33 0,01999998 20
OT 0,15 0,2 37
OT 0,3 0,04999998 25
OT 0,18 0,17 36
OT 0,12 0,23 40
OV 0,3 0,04999998 22
OV 0,27 0,07999998 23
OV 0,12 0,23 38
OV 0,21 0,14 29
OV 0,18 0,17 32
OV 0,27 0,07999998 27
OV 0,21 0,14 31
OV 0,15 0,2 40
OV 0,24 0,11 30
OV 0,33 0,01999998 22
DQ 0,12 0,23 40
DQ 0,27 0,07999998 27
DQ 0,21 0,14 32
DQ 0,18 0,17 34
DQ 0,3 0,04999998 25
DQ 0,3 0,04999998 24
DQ 0,24 0,11 30
DQ 0,33 0,01999998 21
DQ 0,18 0,17 37
DQ 0,15 0,2 39
SQ 0,12 0,23 38
SQ 0,18 0,17 34
SQ 0,3 0,04999998 23
SQ 0,27 0,07999998 25
SQ 0,15 0,2 36
SQ 0,18 0,17 34
SQ 0,3 0,04999998 23
SQ 0,15 0,2 40
SQ 0,33 0,01999998 22
SQ 0,27 0,07999998 28
