StimulationType RulerPosition Distance Answer
0 0,35 0 
SQ 0,18 0,17 37
SQ 0,12 0,23 45
SQ 0,27 0,07999998 27
SQ 0,15 0,2 39
SQ 0,21 0,14 33
SQ 0,15 0,2 37
SQ 0,33 0,01999998 21
SQ 0,3 0,04999998 24
SQ 0,27 0,07999998 27
SQ 0,18 0,17 35
OT 0,12 0,23 45
OT 0,27 0,07999998 30
OT 0,21 0,14 34
OT 0,15 0,2 41
OT 0,33 0,01999998 24
OT 0,3 0,04999998 24
OT 0,15 0,2 41
OT 0,27 0,07999998 29
OT 0,33 0,01999998 23
OT 0,18 0,17 37
OV 0,27 0,07999998 28
OV 0,21 0,14 33
OV 0,3 0,04999998 26
OV 0,12 0,23 42
OV 0,33 0,01999998 20
OV 0,12 0,23 40
OV 0,3 0,04999998 23
OV 0,27 0,07999998 25
OV 0,15 0,2 38
OV 0,18 0,17 34
DQ 0,27 0,07999998 27
DQ 0,15 0,2 38
DQ 0,12 0,23 40
DQ 0,21 0,14 31
DQ 0,18 0,17 35
DQ 0,15 0,2 38
DQ 0,27 0,07999998 25
DQ 0,21 0,14 31
DQ 0,24 0,11 27
DQ 0,3 0,04999998 23
