StimulationType RulerPosition Distance Answer
0 0,35 0 0
SQ 0,15 0,2 33
SQ 0,33 0,01999998 16
SQ 0,18 0,17 34
SQ 0,3 0,04999998 18
SQ 0,21 0,14 28
SQ 0,33 0,01999998 18
SQ 0,27 0,07999998 23
SQ 0,24 0,11 26
SQ 0,12 0,23 36
SQ 0,3 0,04999998 19
OT 0,27 0,07999998 20
OT 0,21 0,14 25
OT 0,24 0,11 22
OT 0,3 0,04999998 17
OT 0,18 0,17 28
OT 0,12 0,23 33
OT 0,24 0,11 22
OT 0,33 0,01999998 13
OT 0,18 0,17 26
OT 0,3 0,04999998 17
DQ 0,21 0,14 26
DQ 0,15 0,2 31
DQ 0,18 0,17 28
DQ 0,24 0,11 21
DQ 0,33 0,01999998 15
DQ 0,12 0,23 32
DQ 0,18 0,17 29
DQ 0,33 0,01999998 14
DQ 0,24 0,11 21
DQ 0,21 0,14 24
OV 0,3 0,04999998 19
OV 0,18 0,17 27
OV 0,21 0,14 25
OV 0,24 0,11 23
OV 0,15 0,2 35
OV 0,12 0,23 34
OV 0,3 0,04999998 15
OV 0,15 0,2 28
OV 0,21 0,14 24
OV 0,27 0,07999998 18
