StimulationType RulerPosition Distance Answer
0 0,35 0 0
OT 0,15 0,2 48
OT 0,27 0,07999998 32
OT 0,12 0,23 45
OT 0,24 0,11 33
OT 0,3 0,04999998 28
OT 0,21 0,14 34
OT 0,18 0,17 37
OT 0,15 0,2 38
OT 0,24 0,11 32
OT 0,3 0,04999998 25
DQ 0,3 0,04999998 25
DQ 0,24 0,11 32
DQ 0,27 0,07999998 30
DQ 0,21 0,14 36
DQ 0,33 0,01999998 26
DQ 0,12 0,23 40
DQ 0,3 0,04999998 25
DQ 0,24 0,11 32
DQ 0,27 0,07999998 29
DQ 0,21 0,14 37
OV 0,3 0,04999998 26
OV 0,21 0,14 35
OV 0,24 0,11 34
OV 0,18 0,17 40
OV 0,33 0,01999998 25
OV 0,21 0,14 34
OV 0,12 0,23 42
OV 0,27 0,07999998 29
OV 0,15 0,2 40
OV 0,3 0,04999998 25
SQ 0,15 0,2 42
SQ 0,21 0,14 36
SQ 0,24 0,11 33
SQ 0,33 0,01999998 26
SQ 0,27 0,07999998 31
SQ 0,12 0,23 43
SQ 0,15 0,2 40
SQ 0,18 0,17 38
SQ 0,3 0,04999998 26
SQ 0,33 0,01999998 24
