StimulationType RulerPosition Distance Answer
0 0,35 0 0
SQ 0,12 0,23 39
SQ 0,21 0,14 33
SQ 0,15 0,2 39
SQ 0,3 0,04999998 24
SQ 0,18 0,17 36
SQ 0,27 0,07999998 26
SQ 0,15 0,2 39
SQ 0,12 0,23 40
SQ 0,21 0,14 31
SQ 0,33 0,01999998 20
OT 0,33 0,01999998 20
OT 0,27 0,07999998 26
OT 0,15 0,2 36
OT 0,18 0,17 35
OT 0,24 0,11 29
OT 0,15 0,2 36
OT 0,18 0,17 33
OT 0,33 0,01999998 18
OT 0,21 0,14 31
OT 0,3 0,04999998 21
DQ 0,3 0,04999998 23
DQ 0,12 0,23 40
DQ 0,27 0,07999998 24
DQ 0,18 0,17 34
DQ 0,33 0,01999998 18
DQ 0,18 0,17 30
DQ 0,27 0,07999998 21
DQ 0,12 0,23 39
DQ 0,21 0,14 29
DQ 0,3 0,04999998 18
OV 0,27 0,07999998 26
OV 0,18 0,17 33
OV 0,15 0,2 34
OV 0,12 0,23 36
OV 0,24 0,11 24
OV 0,27 0,07999998 22
OV 0,12 0,23 36
OV 0,3 0,04999998 17
OV 0,24 0,11 23
OV 0,15 0,2 33
