StimulationType RulerPosition Distance Answer
0 0,35 0 0
SQ 0,33 0,01999998 23
SQ 0,24 0,11 31
SQ 0,27 0,07999998 28
SQ 0,18 0,17 36
SQ 0,15 0,2 39
SQ 0,33 0,01999998 19
SQ 0,24 0,11 26
SQ 0,27 0,07999998 26
SQ 0,15 0,2 36
SQ 0,18 0,17 33
OV 0,24 0,11 32
OV 0,3 0,04999998 27
OV 0,33 0,01999998 22
OV 0,15 0,2 38
OV 0,18 0,17 35
OV 0,15 0,2 36
OV 0,12 0,23 38
OV 0,33 0,01999998 18
OV 0,18 0,17 34
OV 0,24 0,11 29
OT 0,18 0,17 39
OT 0,15 0,2 40
OT 0,3 0,04999998 26
OT 0,33 0,01999998 24
OT 0,12 0,23 42
OT 0,21 0,14 32
OT 0,3 0,04999998 24
OT 0,33 0,01999998 23
OT 0,15 0,2 39
OT 0,27 0,07999998 28
DQ 0,33 0,01999998 22
DQ 0,24 0,11 28
DQ 0,27 0,07999998 24
DQ 0,15 0,2 36
DQ 0,18 0,17 33
DQ 0,15 0,2 34
DQ 0,33 0,01999998 18
DQ 0,21 0,14 27
DQ 0,18 0,17 31
DQ 0,27 0,07999998 23
