StimulationType RulerPosition Distance Answer
0 0,35 0 0
DQ 0,27 0,07999998 25
DQ 0,24 0,11 26
DQ 0,33 0,01999998 15
DQ 0,3 0,04999998 19
DQ 0,15 0,2 34
DQ 0,15 0,2 31
DQ 0,24 0,11 21
DQ 0,27 0,07999998 19
DQ 0,12 0,23 35
DQ 0,3 0,04999998 18
OT 0,33 0,01999998 18
OT 0,15 0,2 36
OT 0,27 0,07999998 24
OT 0,21 0,14 29
OT 0,18 0,17 31
OT 0,15 0,2 32
OT 0,21 0,14 26
OT 0,3 0,04999998 17
OT 0,18 0,17 29
OT 0,12 0,23 35
OV 0,24 0,11 26
OV 0,33 0,01999998 16
OV 0,12 0,23 36
OV 0,3 0,04999998 21
OV 0,27 0,07999998 22
OV 0,27 0,07999998 22
OV 0,24 0,11 25
OV 0,15 0,2 32
OV 0,12 0,23 34
OV 0,3 0,04999998 15
SQ 0,12 0,23 38
SQ 0,15 0,2 33
SQ 0,33 0,01999998 15
SQ 0,27 0,07999998 22
SQ 0,3 0,04999998 19
SQ 0,3 0,04999998 23
SQ 0,27 0,07999998 23
SQ 0,21 0,14 27
SQ 0,24 0,11 24
SQ 0,18 0,17 29
