StimulationType RulerPosition Distance Answer
0 0,35 0 0
SQ 0,21 0,14 29
SQ 0,24 0,11 25
SQ 0,12 0,23 37
SQ 0,3 0,04999998 19
SQ 0,33 0,01999998 16
SQ 0,3 0,04999998 16
SQ 0,24 0,11 23
SQ 0,18 0,17 30
SQ 0,33 0,01999998 15
SQ 0,15 0,2 33
OT 0,3 0,04999998 17
OT 0,18 0,17 31
OT 0,21 0,14 27
OT 0,27 0,07999998 21
OT 0,12 0,23 36
OT 0,33 0,01999998 13
OT 0,15 0,2 32
OT 0,24 0,11 22
OT 0,27 0,07999998 20
OT 0,21 0,14 26
OV 0,33 0,01999998 15
OV 0,27 0,07999998 22
OV 0,12 0,23 37
OV 0,24 0,11 22
OV 0,3 0,04999998 17
OV 0,33 0,01999998 14
OV 0,12 0,23 35
OV 0,21 0,14 25
OV 0,3 0,04999998 17
OV 0,15 0,2 32
DQ 0,15 0,2 34
DQ 0,33 0,01999998 15
DQ 0,18 0,17 30
DQ 0,3 0,04999998 18
DQ 0,12 0,23 36
DQ 0,27 0,07999998 21
DQ 0,12 0,23 37
DQ 0,21 0,14 27
DQ 0,33 0,01999998 15
DQ 0,15 0,2 32
