StimulationType RulerPosition Distance Answer
0 0,35 0
OV 0,18 0,17 32
OV 0,33 0,01999998 21
OV 0,12 0,23 40
OV 0,15 0,2 38
OV 0,21 0,14 32
OV 0,21 0,14 32
OV 0,18 0,17 35
OV 0,33 0,01999998 19
OV 0,3 0,04999998 24
OV 0,24 0,11 29
OT 0,21 0,14 34
OT 0,33 0,01999998 23
OT 0,12 0,23 41
OT 0,27 0,07999998 29
OT 0,18 0,17 36
OT 0,33 0,01999998 22
OT 0,15 0,2 37
OT 0,12 0,23 40
OT 0,3 0,04999998 25
OT 0,24 0,11 30
DQ 0,15 0,2 38
DQ 0,24 0,11 29
DQ 0,12 0,23 39
DQ 0,3 0,04999998 22
DQ 0,27 0,07999998 25
DQ 0,33 0,01999998 21
DQ 0,15 0,2 38
DQ 0,27 0,07999998 25
DQ 0,18 0,17 34
DQ 0,3 0,04999998 23
SQ 0,12 0,23 42
SQ 0,15 0,2 40
SQ 0,24 0,11 30
SQ 0,33 0,01999998 20
SQ 0,21 0,14 32
SQ 0,33 0,01999998 22
SQ 0,3 0,04999998 25
SQ 0,15 0,2 38
SQ 0,12 0,23 39
SQ 0,18 0,17 35
