StimulationType RulerPosition Distance Answer
0 0,35 0 0
DQ 0,15 0,2 32
DQ 0,27 0,07999998 22
DQ 0,12 0,23 38
DQ 0,33 0,01999998 15
DQ 0,18 0,17 33
DQ 0,15 0,2 32
DQ 0,21 0,14 23
DQ 0,24 0,11 21
DQ 0,27 0,07999998 18
DQ 0,33 0,01999998 11
OV 0,3 0,04999998 24
OV 0,15 0,2 38
OV 0,33 0,01999998 18
OV 0,27 0,07999998 24
OV 0,18 0,17 33
OV 0,12 0,23 31
OV 0,3 0,04999998 15
OV 0,33 0,01999998 12
OV 0,15 0,2 34
OV 0,18 0,17 31
OT 0,15 0,2 21
OT 0,12 0,23 24
OT 0,24 0,11 11
OT 0,18 0,17 17
OT 0,3 0,04999998 7
OT 0,18 0,17 27
OT 0,27 0,07999998 17
OT 0,12 0,23 32
OT 0,3 0,04999998 16
OT 0,24 0,11 19
SQ 0,15 0,2 31
SQ 0,3 0,04999998 15
SQ 0,18 0,17 29
SQ 0,24 0,11 21
SQ 0,21 0,14 25
SQ 0,15 0,2 26
SQ 0,21 0,14 20
SQ 0,18 0,17 23
SQ 0,12 0,23 30
SQ 0,24 0,11 16
