StimulationType RulerPosition Distance Answer
0 0,35 0 0
DQ 0,18 0,17 32
DQ 0,33 0,01999998 19
DQ 0,24 0,11 25
DQ 0,21 0,14 29
DQ 0,12 0,23 35
DQ 0,33 0,01999998 15
DQ 0,21 0,14 29
DQ 0,18 0,17 32
DQ 0,12 0,23 37
DQ 0,27 0,07999998 23
OV 0,18 0,17 33
OV 0,3 0,04999998 20
OV 0,21 0,14 29
OV 0,15 0,2 34
OV 0,12 0,23 40
OV 0,24 0,11 21
OV 0,15 0,2 32
OV 0,18 0,17 29
OV 0,21 0,14 27
OV 0,33 0,01999998 14
OT 0,27 0,07999998 26
OT 0,12 0,23 37
OT 0,18 0,17 31
OT 0,15 0,2 34
OT 0,24 0,11 26
OT 0,27 0,07999998 24
OT 0,21 0,14 29
OT 0,18 0,17 32
OT 0,33 0,01999998 17
OT 0,3 0,04999998 19
SQ 0,15 0,2 37
SQ 0,18 0,17 33
SQ 0,33 0,01999998 18
SQ 0,3 0,04999998 20
SQ 0,27 0,07999998 23
SQ 0,27 0,07999998 22
SQ 0,3 0,04999998 17
SQ 0,15 0,2 31
SQ 0,18 0,17 27
SQ 0,33 0,01999998 14
