StimulationType RulerPosition Distance Answer
0 0,35 0 0
OV 0,27 0,07999998 30
OV 0,18 0,17 39
OV 0,21 0,14 37
OV 0,33 0,01999998 23
OV 0,3 0,04999998 27
OV 0,24 0,11 29
OV 0,3 0,04999998 22
OV 0,15 0,2 37
OV 0,27 0,07999998 24
OV 0,12 0,23 42
DQ 0,27 0,07999998 31
DQ 0,33 0,01999998 25
DQ 0,24 0,11 33
DQ 0,12 0,23 44
DQ 0,18 0,17 38
DQ 0,21 0,14 35
DQ 0,24 0,11 32
DQ 0,33 0,01999998 23
DQ 0,15 0,2 40
DQ 0,12 0,23 43
SQ 0,33 0,01999998 22
SQ 0,12 0,23 42
SQ 0,3 0,04999998 23
SQ 0,18 0,17 37
SQ 0,24 0,11 30
SQ 0,12 0,23 45
SQ 0,15 0,2 40
SQ 0,3 0,04999998 22
SQ 0,27 0,07999998 26
SQ 0,24 0,11 28
OT 0,12 0,23 44
OT 0,3 0,04999998 22
OT 0,24 0,11 29
OT 0,33 0,01999998 20
OT 0,27 0,07999998 26
OT 0,3 0,04999998 24
OT 0,27 0,07999998 28
OT 0,33 0,01999998 23
OT 0,21 0,14 35
OT 0,18 0,17 37
